tripid,purpose
#33:3248,Leisure_Hobby
#30:3305,Everyday_Shopping
#31:3313,Everyday_Shopping
#30:3327,Personal_Tasks_Errands
#30:3327,Other
#33:3230,Leisure_Hobby
#31:3299,Leisure_Hobby
#31:3298,Everyday_Shopping
#30:3320,Pick_Up_Drop_Off
#32:3273,Leisure_Hobby
#32:3273,Other
#33:3246,Everyday_Shopping
#30:3328,Personal_Tasks_Errands
#32:3291,Everyday_Shopping
#32:3307,Personal_Tasks_Errands
#31:3321,Home
#31:3321,Personal_Tasks_Errands
#31:3321,Other
#32:3433,Home
#31:3316,Leisure_Hobby
#32:3279,Personal_Tasks_Errands
#30:3334,Leisure_Hobby
#30:3349,Personal_Tasks_Errands
#33:3293,Personal_Tasks_Errands
#30:3343,Business_Trip
#30:3343,Work
#31:3360,Leisure_Hobby
#32:3325,Leisure_Hobby
#33:3303,Other
#33:3303,Other
#33:3303,Leisure_Hobby
#30:3347,Home
#33:3428,Leisure_Hobby
#33:3388,Leisure_Hobby
#33:3283,Leisure_Hobby
#30:3361,Leisure_Hobby
#30:3381,Home
#30:3381,Leisure_Hobby
#30:3381,Other
#31:3341,Leisure_Hobby
#30:3467,Home
#31:3487,Leisure_Hobby
#30:3371,Leisure_Hobby
#31:3446,Personal_Tasks_Errands
#32:3411,Home
#31:3351,Personal_Tasks_Errands
#33:3389,Work
#32:3451,Work
#31:3371,Work
#31:3361,Work
#32:3326,Work
#30:3509,Business_Trip
#32:3316,Work
#30:3382,Home
#30:3382,Personal_Tasks_Errands
#33:3313,Personal_Tasks_Errands
#31:3396,Leisure_Hobby
#31:3488,Work
#32:3330,Business_Trip
#33:3321,Personal_Tasks_Errands
#32:3452,Home
#30:3468,Home
#33:3339,Home
#31:3447,Everyday_Shopping
#30:3740,Home
#30:3740,Work
#30:3740,Work
#30:3402,Work
#31:3388,Home
#33:4197,Home
#30:3412,Work
#30:3412,Home
#30:3417,Personal_Tasks_Errands
#33:3350,Other
#33:3350,Personal_Tasks_Errands
#33:3350,Leisure_Hobby
#31:3397,Personal_Tasks_Errands
#30:4280,Leisure_Hobby
#33:3338,Home
#33:3390,Leisure_Hobby
#30:3416,Everyday_Shopping
#30:3469,Leisure_Hobby
#30:3428,Home
#30:3428,Leisure_Hobby
#30:3428,Other
#31:3408,Work
#31:3408,Home
#31:3512,Home
#31:3512,Personal_Tasks_Errands
#31:4258,Home
#31:3448,Home
#31:3780,Leisure_Hobby
#32:3413,Work
#30:3431,Work
#33:3357,Work
#33:3362,Work
#33:3664,Work
#33:3664,Business_Trip
#30:3511,Work
#33:4198,Work
#30:3444,Business_Trip
#32:3385,Work
#33:3429,Everyday_Shopping
#32:3454,Personal_Tasks_Errands
#31:4259,Work
#31:4259,Home
#32:3691,Work
#33:3431,Personal_Tasks_Errands
#32:4223,Work
#30:3470,Home
#31:3715,Work
#30:3510,Pick_Up_Drop_Off
#30:3534,Personal_Tasks_Errands
#31:3454,Work
#32:3453,Other
#30:3629,Pick_Up_Drop_Off
#31:3456,Home
#31:4594,Home
#33:3396,Work
#33:3396,Home
#31:3460,Home
#31:3460,Work
#31:3838,Other
#31:3838,Leisure_Hobby
#33:3418,Work
#32:3419,Home
#31:3492,Home
#31:3493,Business_Trip
#32:3462,Home
#32:3462,Everyday_Shopping
#32:3476,Personal_Tasks_Errands
#32:3428,Personal_Tasks_Errands
#32:3442,Everyday_Shopping
#31:3465,Personal_Tasks_Errands
#33:3410,Home
#33:3419,Home
#30:3801,Leisure_Hobby
#32:3477,Personal_Tasks_Errands
#32:3477,Home
#30:3500,Leisure_Hobby
#33:3434,Home
#33:3437,Leisure_Hobby
#30:3521,Work
#30:3513,Work
#32:3464,Work
#30:3518,Work
#30:3520,Pick_Up_Drop_Off
#31:3499,Work
#33:3548,Work
#31:3501,Business_Trip
#32:3465,Business_Trip
#31:3502,Work
#30:9106,Work
#33:3521,Everyday_Shopping
#30:3584,Work
#33:3458,Work
#32:3571,Work
#32:3481,Work
#30:3602,Leisure_Hobby
#32:3492,Home
#33:3461,Work
#32:3544,Home
#31:3607,Work
#33:8987,Home
#33:3486,Personal_Tasks_Errands
#33:3488,Personal_Tasks_Errands
#33:3488,Leisure_Hobby
#32:3509,Personal_Tasks_Errands
#30:3628,Work
#30:3561,Leisure_Hobby
#31:3684,Leisure_Hobby
#31:3545,Home
#31:3545,Personal_Tasks_Errands
#33:3547,Home
#33:7618,Home
#31:3580,Work
#32:3570,Work
#32:3579,Personal_Tasks_Errands
#30:3892,Work
#30:3892,Pick_Up_Drop_Off
#30:3637,Everyday_Shopping
#32:3580,Everyday_Shopping
#32:3581,Everyday_Shopping
#32:3648,Business_Trip
#30:3639,Personal_Tasks_Errands
#31:3618,Personal_Tasks_Errands
#31:3606,Home
#32:3582,Home
#30:3640,Work
#31:13261,Work
#32:4187,Business_Trip
#30:3659,Everyday_Shopping
#30:3659,Home
#33:3565,Everyday_Shopping
#31:3660,Home
#30:5002,Leisure_Hobby
#33:3599,Leisure_Hobby
#32:4225,Leisure_Hobby
#32:3622,Home
#33:4918,Home
#33:4918,Leisure_Hobby
#31:3669,Leisure_Hobby
#30:3758,Other
#30:3708,Other
#33:3678,Home
#30:4246,Leisure_Hobby
#31:3712,Leisure_Hobby
#31:3739,Work
#33:3645,Other
#33:4537,Work
#33:3643,Work
#31:3720,Work
#32:4188,Other
#33:3676,Work
#31:3722,Pick_Up_Drop_Off
#32:3740,Work
#32:3716,Leisure_Hobby
#32:3704,Home
#33:3730,Home
#31:3752,Leisure_Hobby
#30:3762,Everyday_Shopping
#30:4622,Home
#31:3755,Work
#31:3754,Home
#32:3766,Other
#32:3743,Work
#32:4138,Work
#33:3708,Work
#30:3790,Personal_Tasks_Errands
#32:3752,Work
#33:3720,Work
#31:3788,Home
#32:3757,Work
#33:3734,Leisure_Hobby
#32:3760,Other
#32:3760,Work
#30:3818,Work
#30:3835,Leisure_Hobby
#33:3743,Other
#31:3837,Leisure_Hobby
#30:4604,Home
#33:3752,Work
#30:3916,Everyday_Shopping
#30:3836,Everyday_Shopping
#33:3749,Pick_Up_Drop_Off
#31:3839,Work
#31:3822,Home
#31:3822,Leisure_Hobby
#30:3857,Other
#33:3786,Work
#31:4586,Work
#33:3784,Work
#31:3874,Home
#32:3953,Personal_Tasks_Errands
#30:3867,Work
#30:3860,Work
#30:3860,Home
#32:3814,Personal_Tasks_Errands
#33:3930,Work
#31:3848,Other
#30:3895,Work
#33:3844,Work
#32:3812,Home
#32:3812,Personal_Tasks_Errands
#30:3883,Work
#30:3902,Leisure_Hobby
#30:3902,Personal_Tasks_Errands
#30:3925,Work
#33:3814,Work
#33:3814,Home
#31:4224,Home
#30:3894,Work
#33:3812,Pick_Up_Drop_Off
#31:3881,Leisure_Hobby
#31:3881,Personal_Tasks_Errands
#31:4134,Other
#31:4439,Work
#30:4011,Work
#30:3932,Leisure_Hobby
#30:3932,Personal_Tasks_Errands
#31:3918,Work
#32:3881,Leisure_Hobby
#32:3881,Personal_Tasks_Errands
#33:3858,Personal_Tasks_Errands
#31:3921,Work
#33:3863,Leisure_Hobby
#33:3863,Personal_Tasks_Errands
#31:3931,Work
#32:3938,Leisure_Hobby
#32:3938,Personal_Tasks_Errands
#32:3938,Other
#31:4440,Work
#30:4005,Work
#31:4144,Home
#30:4462,Leisure_Hobby
#31:3935,Work
#31:3984,Personal_Tasks_Errands
#30:3989,Personal_Tasks_Errands
#33:3915,Personal_Tasks_Errands
#33:3915,Leisure_Hobby
#32:3948,Personal_Tasks_Errands
#32:3954,Work
#33:4379,Work
#32:3918,Pick_Up_Drop_Off
#33:3916,Work
#31:3959,Work
#33:3908,Work
#30:3996,Leisure_Hobby
#30:3996,Personal_Tasks_Errands
#31:4225,Work
#31:3973,Work
#31:3975,Leisure_Hobby
#31:3975,Personal_Tasks_Errands
#33:3931,Home
#33:3917,Work
#30:4012,Everyday_Shopping
#30:4108,Leisure_Hobby
#30:4108,Personal_Tasks_Errands
#33:3948,Work
#31:4086,Leisure_Hobby
#31:4086,Personal_Tasks_Errands
#33:3945,Personal_Tasks_Errands
#32:4050,Leisure_Hobby
#32:4050,Personal_Tasks_Errands
#32:4053,Work
#31:4129,Leisure_Hobby
#33:4524,Everyday_Shopping
#30:4065,Everyday_Shopping
#32:4092,Home
#32:4403,Personal_Tasks_Errands
#33:4068,Leisure_Hobby
#30:4149,Leisure_Hobby
#33:4376,Personal_Tasks_Errands
#32:4012,Leisure_Hobby
#31:4437,Personal_Tasks_Errands
#33:4030,Home
#30:4150,Home
#30:4103,Work
#32:4140,Leisure_Hobby
#30:4216,Leisure_Hobby
#30:4151,Leisure_Hobby
#31:4126,Leisure_Hobby
#32:4089,Leisure_Hobby
#30:4691,Other
#33:4035,Personal_Tasks_Errands
#33:4065,Everyday_Shopping
#33:4525,Leisure_Hobby
#30:4227,Work
#33:4066,Work
#30:4148,Work
#33:4600,Work
#32:4169,Home
#32:4404,Work
#32:4404,Home
#30:4177,Work
#32:4132,Home
#33:4528,Work
#32:4401,Work
#33:4377,Work
#31:4432,Leisure_Hobby
#31:4432,Everyday_Shopping
#30:4228,Other
#33:4134,Leisure_Hobby
#32:4157,Leisure_Hobby
#32:4158,Leisure_Hobby
#30:4460,Home
#32:4553,Home
#33:4139,Leisure_Hobby
#32:4175,Home
#33:4213,Everyday_Shopping
#33:4213,Leisure_Hobby
#32:4396,Leisure_Hobby
#32:4396,Everyday_Shopping
#30:4296,Home
#30:4247,Leisure_Hobby
#30:4324,Work
#33:4164,Leisure_Hobby
#33:4164,Business_Trip
#32:4561,Work
#30:4352,Everyday_Shopping
#32:4402,Work
#31:4302,Work
#30:4419,Work
#33:4372,Leisure_Hobby
#30:4461,Work
#30:4273,Home
#33:4530,Leisure_Hobby
#31:4592,Home
#31:4397,Home
#31:4283,Leisure_Hobby
#32:4247,Leisure_Hobby
#30:4306,Work
#30:4615,Work
#32:4266,Work
#32:4361,Work
#32:4621,Work
#32:4556,Home
#30:4330,Other
#33:4337,Home
#32:4397,Work
#32:4296,Personal_Tasks_Errands
#33:4375,Leisure_Hobby
#30:4456,Home
#32:4398,Leisure_Hobby
#33:4336,Other
#33:4374,Work
#30:4457,Home
#30:4549,Leisure_Hobby
#31:4476,Personal_Tasks_Errands
#31:4527,Leisure_Hobby
#32:4491,Leisure_Hobby
#30:4550,Leisure_Hobby
#30:4550,Other
#31:4528,Leisure_Hobby
#32:4492,Leisure_Hobby
#32:4492,Other
#33:4707,Work
#30:5695,Work
#30:5695,Home
#31:5669,Home
#31:5669,Other
#30:4791,Leisure_Hobby
#32:5629,Home
#32:5629,Other
#33:4708,Home
#33:4708,Personal_Tasks_Errands
#30:4792,Home
#31:4770,Work
#31:4574,Work
#32:4620,Work
#32:4577,Work
#32:4733,Home
#32:4890,Everyday_Shopping
#32:4630,Personal_Tasks_Errands
#30:4684,Work
#30:4750,Work
#31:4662,Work
#33:4605,Personal_Tasks_Errands
#31:4657,Other
#30:4689,Home
#33:4601,Work
#30:4695,Work
#32:4638,Work
#33:5605,Leisure_Hobby
#30:4831,Home
#33:4636,Work
#33:4636,Personal_Tasks_Errands
#30:5344,Personal_Tasks_Errands
#33:4639,Leisure_Hobby
#30:4722,Leisure_Hobby
#30:4955,Personal_Tasks_Errands
#33:4664,Work
#33:4666,Work
#31:4808,Work
#32:4771,Home
#33:4870,Work
#31:4851,Work
#32:4814,Home
#31:4932,Work
#32:4893,Personal_Tasks_Errands
#31:4930,Work
#30:4875,Home
#30:5003,Other
#31:4980,Other
#33:6436,Business_Trip
#32:4941,Other
#31:4988,Home
#31:4988,Everyday_Shopping
#31:5049,Everyday_Shopping
#31:5251,Home
#32:5059,Work
#33:5189,Home
#32:5213,Work
#30:5289,Everyday_Shopping
#30:5289,Personal_Tasks_Errands
#30:5289,Pick_Up_Drop_Off
#33:5104,Other
#32:5154,Home
#32:5224,Work
#31:5763,Work
#32:5796,Leisure_Hobby
#33:5705,Work
#32:5736,Work
#31:5814,Home
#30:5850,Work
#31:6214,Home
#33:6146,Work
#33:6146,Everyday_Shopping
#31:13264,Leisure_Hobby
#31:13263,Work
#32:13206,Work
#31:6364,Work
#31:6364,Personal_Tasks_Errands
#30:6323,Work
#30:6395,Personal_Tasks_Errands
#32:6296,Personal_Tasks_Errands
#33:6294,Everyday_Shopping
#33:6294,Personal_Tasks_Errands
#32:6315,Home
#32:6320,Work
#33:6289,Work
#33:6299,Leisure_Hobby
#33:6300,Work
#33:6348,Pick_Up_Drop_Off
#33:6348,Personal_Tasks_Errands
#33:6348,Leisure_Hobby
#32:6393,Everyday_Shopping
#30:6498,Pick_Up_Drop_Off
#30:6498,Leisure_Hobby
#30:6498,Personal_Tasks_Errands
#30:6498,Other
#32:6402,Leisure_Hobby
#33:6397,Personal_Tasks_Errands
#33:6397,Leisure_Hobby
#33:6397,Other
#31:6466,Work
#32:6462,Personal_Tasks_Errands
#30:6497,Work
#33:6435,Work
#32:6461,Work
#30:6535,Leisure_Hobby
#31:6509,Leisure_Hobby
#31:6517,Pick_Up_Drop_Off
#32:6497,Home
#33:6456,Other
#30:6591,Home
#33:6482,Work
#31:6559,Everyday_Shopping
#33:6497,Personal_Tasks_Errands
#31:6594,Leisure_Hobby
#31:6593,Work
#32:6553,Everyday_Shopping
#32:6553,Personal_Tasks_Errands
#30:6626,Home
#33:6529,Work
#30:6698,Everyday_Shopping
#31:6599,Everyday_Shopping
#33:6527,Everyday_Shopping
#33:6560,Work
#32:6573,Everyday_Shopping
#30:6665,Home
#32:6597,Pick_Up_Drop_Off
#32:6597,Other
#33:6573,Work
#33:6573,Home
#31:6652,Home
#33:6592,Work
#31:6667,Home
#31:6685,Work
#33:6624,Work
#32:6718,Personal_Tasks_Errands
#32:6718,Pick_Up_Drop_Off
#30:6798,Home
#31:6722,Everyday_Shopping
#32:6676,Home
#30:6760,Leisure_Hobby
#30:6768,Work
#32:6688,Home
#32:7551,Pick_Up_Drop_Off
#31:6784,Leisure_Hobby
#33:6712,Leisure_Hobby
#32:6710,Home
#30:6819,Leisure_Hobby
#31:6823,Leisure_Hobby
#33:6740,Personal_Tasks_Errands
#30:6847,Home
#32:6766,Personal_Tasks_Errands
#31:6813,Home
#33:7523,Leisure_Hobby
#31:6872,Leisure_Hobby
#31:6853,Home
#30:7642,Business_Trip
#30:6914,Everyday_Shopping
#31:6958,Leisure_Hobby
#33:6887,Home
#33:6903,Home
#30:7017,Work
#30:7049,Personal_Tasks_Errands
#30:7315,Leisure_Hobby
#30:7222,Everyday_Shopping
#32:7019,Other
#31:7105,Work
#32:7032,Everyday_Shopping
#32:7227,Leisure_Hobby
#32:7055,Work
#33:7027,Leisure_Hobby
#30:7641,Personal_Tasks_Errands
#30:7641,Leisure_Hobby
#30:7144,Work
#30:7144,Personal_Tasks_Errands
#30:7190,Work
#32:7133,Other
#31:7152,Work
#31:7152,Personal_Tasks_Errands
#33:7102,Personal_Tasks_Errands
#31:7257,Home
#31:7306,Work
#32:7252,Work
#31:7303,Home
#30:7347,Pick_Up_Drop_Off
#33:7261,Leisure_Hobby
#30:7384,Leisure_Hobby
#31:7345,Personal_Tasks_Errands
#33:7277,Other
#30:7396,Personal_Tasks_Errands
#31:7398,Personal_Tasks_Errands
#33:7319,Personal_Tasks_Errands
#30:7438,Leisure_Hobby
#31:7399,Personal_Tasks_Errands
#32:7348,Personal_Tasks_Errands
#30:7463,Work
#31:7459,Home
#32:7550,Other
#33:7381,Home
#32:7454,Leisure_Hobby
#30:7565,Work
#32:7440,Work
#33:7521,Other
#31:7526,Work
#33:7426,Leisure_Hobby
#31:7518,Work
#31:7518,Home
#32:7474,Home
#30:7558,Pick_Up_Drop_Off
#33:7443,Work
#33:7443,Home
#31:7522,Home
#31:7522,Work
#30:7562,Leisure_Hobby
#30:7585,Leisure_Hobby
#31:7525,Home
#33:7446,Leisure_Hobby
#32:7473,Work
#32:7473,Home
#33:7497,Leisure_Hobby
#31:7528,Other
#32:7475,Home
#32:7495,Other
#30:7572,Home
#33:7458,Work
#32:7478,Leisure_Hobby
#31:7577,Home
#31:7529,Pick_Up_Drop_Off
#31:7540,Leisure_Hobby
#30:7866,Work
#30:7592,Work
#30:7592,Pick_Up_Drop_Off
#32:7504,Leisure_Hobby
#32:7482,Personal_Tasks_Errands
#32:7482,Personal_Tasks_Errands
#31:7600,Leisure_Hobby
#30:7571,Home
#33:7486,Everyday_Shopping
#32:7587,Home
#32:7496,Other
#32:7501,Personal_Tasks_Errands
#32:7501,Home
#31:7828,Work
#31:7549,Work
#30:7581,Leisure_Hobby
#30:7586,Leisure_Hobby
#30:7590,Home
#30:7598,Work
#33:7587,Other
#31:7651,Work
#30:7594,Work
#33:7522,Work
#32:7503,Work
#33:7559,Work
#30:7709,Work
#33:7473,Work
#30:7653,Work
#32:7513,Work
#30:7597,Work
#30:7595,Work
#30:7593,Work
#31:7575,Work
#32:7502,Work
#30:7604,Work
#33:7517,Work
#33:7481,Work
#32:7541,Work
#31:7554,Pick_Up_Drop_Off
#33:7963,Work
#32:7512,Work
#30:7596,Work
#32:7509,Leisure_Hobby
#32:7507,Work
#32:7514,Work
#30:7647,Personal_Tasks_Errands
#30:7629,Work
#33:7480,Work
#30:7600,Work
#30:7609,Work
#30:7609,Work
#30:7609,Work
#33:7513,Leisure_Hobby
#30:7695,Work
#30:8082,Work
#31:7570,Work
#31:7570,Work
#31:7570,Work
#31:7616,Work
#33:7492,Everyday_Shopping
#30:7608,Work
#32:7853,Work
#31:7614,Work
#31:7608,Personal_Tasks_Errands
#31:7608,Everyday_Shopping
#31:7571,Everyday_Shopping
#32:7517,Pick_Up_Drop_Off
#30:7635,Home
#30:7635,Home
#30:7669,Work
#33:7557,Pick_Up_Drop_Off
#33:7557,Work
#33:7557,Pick_Up_Drop_Off
#31:7782,Other
#32:7523,Leisure_Hobby
#33:7620,Work
#32:7529,Pick_Up_Drop_Off
#30:7615,Home
#33:7494,Everyday_Shopping
#31:7684,Personal_Tasks_Errands
#31:7684,Personal_Tasks_Errands
#33:7539,Work
#32:7591,Work
#30:7655,Work
#33:7498,Work
#33:7634,Work
#30:8344,Pick_Up_Drop_Off
#32:7519,Home
#32:7519,Work
#32:7519,Home
#32:7519,Home
#32:7519,Work
#32:7519,Home
#33:7493,Work
#30:7610,Work
#30:7610,Home
#33:7529,Work
#33:7500,Personal_Tasks_Errands
#31:7578,Everyday_Shopping
#31:7578,Work
#33:7495,Everyday_Shopping
#33:7495,Other
#33:7525,Home
#33:7525,Home
#33:7525,Work
#33:7525,Home
#32:7524,Everyday_Shopping
#32:7522,Work
#31:7594,Work
#33:7704,Other
#32:7521,Other
#30:7696,Work
#30:8080,Home
#32:7567,Other
#30:7646,Personal_Tasks_Errands
#30:7710,Work
#30:7710,Everyday_Shopping
#30:7710,Home
#30:7756,Work
#30:7753,Work
#30:7720,Everyday_Shopping
#31:7576,Work
#30:7618,Work
#30:7618,Home
#30:7618,Work
#30:7618,Home
#33:7499,Home
#32:7528,Leisure_Hobby
#31:7595,Everyday_Shopping
#30:7620,Other
#30:7620,Everyday_Shopping
#32:7527,Work
#31:7587,Work
#33:7514,Work
#33:7514,Work
#33:7505,Personal_Tasks_Errands
#32:7535,Everyday_Shopping
#32:7539,Work
#32:7539,Home
#30:7619,Pick_Up_Drop_Off
#31:7597,Home
#32:7543,Work
#31:7606,Personal_Tasks_Errands
#31:7591,Leisure_Hobby
#33:7556,Work
#30:7625,Leisure_Hobby
#31:7596,Personal_Tasks_Errands
#31:7950,Other
#32:7536,Work
#30:7634,Home
#31:7607,Personal_Tasks_Errands
#31:7648,Personal_Tasks_Errands
#31:7648,Other
#30:7636,Work
#32:7606,Leisure_Hobby
#31:7599,Other
#30:7650,Home
#31:7637,Leisure_Hobby
#31:7629,Work
#30:7662,Home
#30:7643,Leisure_Hobby
#31:7605,Personal_Tasks_Errands
#32:8156,Everyday_Shopping
#30:7944,Work
#32:7565,Leisure_Hobby
#33:7545,Home
#32:7680,Home
#32:7680,Work
#33:7528,Work
#31:7603,Work
#31:7636,Home
#31:7609,Home
#31:7634,Home
#31:7634,Personal_Tasks_Errands
#30:7664,Home
