tripid,purpose
#31:4492,Everyday_Shopping
#32:4489,Work
#32:4506,Leisure_Hobby
#32:4506,Pick_Up_Drop_Off
#33:4482,Home
#33:4482,Everyday_Shopping
#32:4694,Pick_Up_Drop_Off
#32:4508,Personal_Tasks_Errands
#32:4770,Everyday_Shopping
#33:4484,Home
#30:4642,Work
#33:4558,Personal_Tasks_Errands
#33:4746,Personal_Tasks_Errands
#31:4620,Home
#33:4595,Work
#33:4627,Pick_Up_Drop_Off
#32:4646,Home
#31:4731,Everyday_Shopping
#31:4807,Everyday_Shopping
#30:4860,Everyday_Shopping
#30:4860,Other
#31:4749,Work
#30:4753,Leisure_Hobby
#33:4669,Personal_Tasks_Errands
#33:4850,Work
#30:4935,Home
#32:4769,Personal_Tasks_Errands
#32:4731,Home
#33:4676,Leisure_Hobby
#31:11790,Everyday_Shopping
#31:6756,Leisure_Hobby
#33:4692,Leisure_Hobby
#31:4862,Work
#31:4806,Leisure_Hobby
#31:4773,Work
#30:4818,Home
#30:4818,Leisure_Hobby
#30:4819,Everyday_Shopping
#33:4762,Everyday_Shopping
#33:4762,Home
#31:4863,Leisure_Hobby
#33:4805,Leisure_Hobby
#30:4853,Everyday_Shopping
#30:4847,Work
#31:4824,Home
#30:4936,Leisure_Hobby
#32:13067,Pick_Up_Drop_Off
#32:13067,Leisure_Hobby
#32:13067,Other
#31:13124,Personal_Tasks_Errands
#33:4825,Work
#33:13039,Everyday_Shopping
#33:12757,Everyday_Shopping
#33:12757,Home
#32:6090,Personal_Tasks_Errands
#30:4947,Work
#31:5026,Personal_Tasks_Errands
#31:5330,Home
#33:4955,Leisure_Hobby
#30:4970,Everyday_Shopping
#30:4970,Home
#30:13162,Personal_Tasks_Errands
#32:4947,Work
#31:5011,Home
#32:5008,Work
#33:5078,Leisure_Hobby
#33:5273,Leisure_Hobby
#30:5360,Leisure_Hobby
#31:5337,Leisure_Hobby
#31:5336,Leisure_Hobby
#30:5162,Leisure_Hobby
#33:5076,Everyday_Shopping
#30:5441,Leisure_Hobby
#30:5441,Everyday_Shopping
#33:5354,Leisure_Hobby
#30:5237,Work
#32:5378,Leisure_Hobby
#30:5442,Leisure_Hobby
#33:5272,Personal_Tasks_Errands
#32:5295,Leisure_Hobby
#31:5335,Everyday_Shopping
#32:12785,Leisure_Hobby
#32:12785,Other
#32:12785,Home
#31:12841,Leisure_Hobby
#33:12755,Leisure_Hobby
#33:12755,Home
#33:12754,Leisure_Hobby
#30:12879,Leisure_Hobby
#30:12879,Home
#33:12753,Everyday_Shopping
#31:12838,Leisure_Hobby
#32:12781,Leisure_Hobby
#30:12876,Home
#33:12751,Leisure_Hobby
#32:12780,Leisure_Hobby
#32:12780,Home
#32:12260,Personal_Tasks_Errands
#31:12835,Leisure_Hobby
#33:12749,Leisure_Hobby
#33:12231,Personal_Tasks_Errands
#30:12356,Home
#30:12873,Personal_Tasks_Errands
#30:12872,Leisure_Hobby
#33:12747,Home
#31:12832,Personal_Tasks_Errands
#33:12746,Leisure_Hobby
#31:12831,Leisure_Hobby
#31:6296,Leisure_Hobby
#31:6296,Pick_Up_Drop_Off
#32:13065,Pick_Up_Drop_Off
#32:13065,Work
#33:13036,Work
#33:13036,Pick_Up_Drop_Off
#33:13036,Home
#33:12745,Everyday_Shopping
#33:12745,Personal_Tasks_Errands
#33:6293,Everyday_Shopping
#33:6293,Personal_Tasks_Errands
#32:6319,Home
#31:6362,Work
#31:6362,Pick_Up_Drop_Off
#30:6393,Pick_Up_Drop_Off
#30:6393,Work
#33:6292,Leisure_Hobby
#33:6292,Other
#33:6292,Pick_Up_Drop_Off
#30:13158,Work
#30:13158,Pick_Up_Drop_Off
#30:13158,Home
#31:13119,Work
#32:13063,Work
#32:13063,Everyday_Shopping
#31:13121,Pick_Up_Drop_Off
#31:13121,Work
#30:13160,Home
#30:13160,Pick_Up_Drop_Off
#31:6365,Leisure_Hobby
#33:13034,Leisure_Hobby
#33:13034,Pick_Up_Drop_Off
#30:13159,Personal_Tasks_Errands
#31:6372,Personal_Tasks_Errands
#31:13120,Other
#32:13064,Other
#32:13064,Leisure_Hobby
#33:13035,Leisure_Hobby
#33:13035,Pick_Up_Drop_Off
#32:12774,Home
#32:12774,Leisure_Hobby
#32:12774,Pick_Up_Drop_Off
#32:6346,Leisure_Hobby
#31:6409,Leisure_Hobby
#31:6409,Everyday_Shopping
#32:6441,Work
#32:6441,Pick_Up_Drop_Off
#32:6441,Home
#31:6411,Leisure_Hobby
#33:6371,Everyday_Shopping
#33:6371,Leisure_Hobby
#31:6484,Everyday_Shopping
#31:6484,Personal_Tasks_Errands
#30:6472,Home
#30:6515,Everyday_Shopping
#30:6515,Pick_Up_Drop_Off
#30:6515,Home
#30:6515,Personal_Tasks_Errands
#33:6376,Personal_Tasks_Errands
#30:6477,Everyday_Shopping
#33:6414,Pick_Up_Drop_Off
#33:6414,Work
#33:6414,Work
#32:6440,Work
#32:6440,Work
#32:6440,Pick_Up_Drop_Off
#31:6507,Work
#33:13033,Work
#33:13033,Pick_Up_Drop_Off
#32:13062,Work
#32:13062,Pick_Up_Drop_Off
#32:13062,Home
#30:13157,Work
#30:13157,Pick_Up_Drop_Off
#31:13118,Home
#31:13118,Pick_Up_Drop_Off
#31:13118,Work
#31:6518,Work
#33:13032,Work
#32:13061,Personal_Tasks_Errands
#32:12252,Work
#31:13117,Everyday_Shopping
#30:13156,Pick_Up_Drop_Off
#30:13156,Work
#33:13031,Work
#33:13031,Pick_Up_Drop_Off
#33:13031,Home
#31:6702,Home
#31:12308,Other
#32:6495,Home
#30:12347,Other
#30:6569,Work
#32:12249,Home
#32:6545,Everyday_Shopping
#32:6545,Home
#32:6545,Pick_Up_Drop_Off
#31:6592,Everyday_Shopping
#32:6556,Work
#31:6602,Work
#31:6602,Everyday_Shopping
#30:6655,Home
#32:13060,Leisure_Hobby
#32:13060,Home
#32:13060,Pick_Up_Drop_Off
#30:13155,Work
#30:13155,Pick_Up_Drop_Off
#31:6623,Work
#31:13116,Home
#31:13116,Pick_Up_Drop_Off
#31:13116,Work
#30:6654,Personal_Tasks_Errands
#30:6666,Work
#33:13030,Pick_Up_Drop_Off
#33:13030,Work
#32:13059,Work
#32:13059,Pick_Up_Drop_Off
#32:13059,Home
#33:6566,Work
#32:6591,Home
#31:6668,Work
#33:6724,Work
#33:6577,Home
#30:6715,Work
#33:6617,Work
#32:12824,Personal_Tasks_Errands
#32:12824,Everyday_Shopping
#33:12795,Everyday_Shopping
#33:12795,Personal_Tasks_Errands
#30:6723,Personal_Tasks_Errands
#30:12920,Home
#32:6619,Other
#33:6593,Personal_Tasks_Errands
#32:6644,Work
#30:6893,Work
#33:6596,Personal_Tasks_Errands
#33:6609,Home
#30:6724,Home
#31:6679,Pick_Up_Drop_Off
#31:6681,Everyday_Shopping
#30:12344,Home
#30:12344,Other
#32:6808,Home
#32:6634,Everyday_Shopping
#32:6656,Work
#31:6726,Work
#31:12304,Personal_Tasks_Errands
#30:12343,Other
#30:12343,Leisure_Hobby
#30:6784,Home
#32:12247,Pick_Up_Drop_Off
#32:12247,Work
#30:12342,Home
#32:12823,Work
#32:12823,Pick_Up_Drop_Off
#33:12794,Work
#32:12246,Business_Trip
#32:12246,Work
#32:12246,Pick_Up_Drop_Off
#30:12918,Work
#30:12918,Business_Trip
#30:12918,Pick_Up_Drop_Off
#31:12879,Home
#30:6831,Other
#32:6750,Everyday_Shopping
#32:6750,Other
#31:12299,Home
#31:12299,Everyday_Shopping
#30:6786,Leisure_Hobby
#32:6707,Home
#33:12213,Other
#33:12213,Pick_Up_Drop_Off
#33:12213,Leisure_Hobby
#31:6796,Other
#30:6830,Other
#33:6723,Other
#31:12298,Personal_Tasks_Errands
#32:6748,Work
#33:12212,Personal_Tasks_Errands
#33:12793,Work
#33:12793,Pick_Up_Drop_Off
#31:12878,Home
#31:12878,Pick_Up_Drop_Off
#31:12878,Work
#31:6795,Work
#33:6727,Home
#30:12336,Other
#30:6833,Leisure_Hobby
#32:6767,Business_Trip
#32:6767,Pick_Up_Drop_Off
#32:6767,Work
#32:6777,Business_Trip
#32:6777,Leisure_Hobby
#32:6777,Other
#33:12791,Work
#32:12821,Personal_Tasks_Errands
#33:12792,Personal_Tasks_Errands
#30:12917,Work
#31:12296,Home
#30:6862,Work
#30:6862,Leisure_Hobby
#33:6759,Business_Trip
#33:6759,Leisure_Hobby
#30:12335,Other
#32:12239,Other
#32:6786,Leisure_Hobby
#32:6786,Work
#32:6786,Everyday_Shopping
#32:12226,Personal_Tasks_Errands
#33:6778,Business_Trip
#31:12873,Work
#31:12873,Pick_Up_Drop_Off
#30:12913,Work
#30:12913,Pick_Up_Drop_Off
#30:12913,Home
#30:12321,Everyday_Shopping
#30:12321,Other
#32:12225,Home
#30:6909,Business_Trip
#33:6805,Leisure_Hobby
#31:12281,Other
#30:6918,Leisure_Hobby
#32:12221,Work
#32:12221,Business_Trip
#30:12316,Business_Trip
#30:12316,Work
#31:12861,Work
#31:12861,Pick_Up_Drop_Off
#31:12860,Everyday_Shopping
#31:12865,Home
#31:12865,Pick_Up_Drop_Off
#32:12810,Leisure_Hobby
#32:12810,Pick_Up_Drop_Off
#31:12867,Personal_Tasks_Errands
#31:12869,Other
#31:12859,Leisure_Hobby
#31:12859,Pick_Up_Drop_Off
#32:12220,Pick_Up_Drop_Off
#32:12220,Work
#32:12220,Other
#33:12190,Home
#31:12274,Work
#31:12274,Personal_Tasks_Errands
#31:12274,Work
#31:12274,Pick_Up_Drop_Off
#32:12216,Home
#31:6971,Leisure_Hobby
#30:7039,Home
#30:7039,Leisure_Hobby
#31:7001,Leisure_Hobby
#33:6926,Leisure_Hobby
#30:7149,Work
#31:7111,Business_Trip
#32:7061,Business_Trip
#31:7374,Personal_Tasks_Errands
#32:7323,Work
#33:7295,Everyday_Shopping
#30:7414,Work
#31:12271,Home
#33:7033,Leisure_Hobby
#33:11822,Work
#31:7202,Work
#31:7202,Pick_Up_Drop_Off
#31:7375,Work
#32:7152,Personal_Tasks_Errands
#32:7324,Home
#33:7120,Work
#33:7120,Pick_Up_Drop_Off
#32:7147,Work
#32:7147,Pick_Up_Drop_Off
#32:7147,Work
#33:7296,Work
#31:12830,Home
#31:12830,Pick_Up_Drop_Off
#31:12830,Leisure_Hobby
#30:12898,Work
#30:12898,Home
#33:12773,Personal_Tasks_Errands
#30:12310,Pick_Up_Drop_Off
#30:12310,Work
#30:7415,Home
#32:12214,Pick_Up_Drop_Off
#32:12214,Work
#31:12270,Other
#31:12858,Work
#31:12858,Pick_Up_Drop_Off
#32:12802,Pick_Up_Drop_Off
#32:12802,Work
#32:12213,Work
#32:12213,Pick_Up_Drop_Off
#31:7376,Everyday_Shopping
#31:7376,Business_Trip
#32:7287,Work
#31:7386,Work
#33:7304,Leisure_Hobby
#33:7369,Leisure_Hobby
#33:7369,Other
#33:7305,Leisure_Hobby
#31:12268,Work
#31:12268,Business_Trip
#31:7385,Leisure_Hobby
#32:12211,Everyday_Shopping
#33:7306,Leisure_Hobby
#30:7511,Leisure_Hobby
#30:12306,Home
#30:12306,Everyday_Shopping
#32:7423,Personal_Tasks_Errands
#32:7397,Home
#32:7421,Work
#30:7495,Home
#30:7512,Personal_Tasks_Errands
#33:7394,Home
#31:7487,Work
#33:8061,Work
#30:12741,Work
#30:12741,Work
#30:12741,Work
#30:12741,Work
#30:7587,Leisure_Hobby
#32:7497,Home
#32:7497,Leisure_Hobby
#31:8673,Home
#33:7475,Work
#33:7475,Pick_Up_Drop_Off
#33:12772,Pick_Up_Drop_Off
#33:12772,Work
#30:12897,Pick_Up_Drop_Off
#30:12897,Work
#33:11710,Work
#32:11892,Work
#30:12893,Work
#30:12893,Pick_Up_Drop_Off
#33:12769,Home
#33:12769,Work
#33:12769,Pick_Up_Drop_Off
#31:12855,Work
#31:12855,Pick_Up_Drop_Off
#32:12797,Home
#32:8622,Business_Trip
#30:12896,Work
#30:12896,Pick_Up_Drop_Off
#32:12801,Home
#32:12801,Pick_Up_Drop_Off
#32:12801,Work
#33:8597,Home
#30:12869,Leisure_Hobby
#30:12869,Pick_Up_Drop_Off
#32:12773,Leisure_Hobby
#32:12773,Pick_Up_Drop_Off
#33:12767,Personal_Tasks_Errands
#32:12796,Everyday_Shopping
#31:12852,Everyday_Shopping
#31:12436,Other
#30:12475,Work
#31:7874,Work
#33:7871,Pick_Up_Drop_Off
#33:7871,Personal_Tasks_Errands
#31:12435,Work
#30:12056,Work
#30:12891,Everyday_Shopping
#32:12795,Home
#32:12795,Everyday_Shopping
#30:12474,Work
#31:12017,Personal_Tasks_Errands
#30:7957,Personal_Tasks_Errands
#30:7957,Home
#31:7920,Everyday_Shopping
#32:11961,Personal_Tasks_Errands
#31:8035,Work
#33:12349,Work
#31:12325,Other
#32:7952,Leisure_Hobby
#30:8048,Everyday_Shopping
#32:7960,Leisure_Hobby
#30:12157,Other
#33:11946,Other
#33:7955,Work
#33:7955,Pick_Up_Drop_Off
#33:7955,Home
#33:7997,Other
#30:8116,Leisure_Hobby
#31:8088,Work
#31:8088,Business_Trip
#31:8103,Everyday_Shopping
#30:8143,Home
#31:12829,Leisure_Hobby
#31:12829,Pick_Up_Drop_Off
#33:12743,Leisure_Hobby
#33:12743,Pick_Up_Drop_Off
#33:12743,Home
#32:12794,Everyday_Shopping
#31:8140,Everyday_Shopping
#31:8140,Home
#31:12850,Everyday_Shopping
#31:12850,Home
#33:11865,Work
#31:8166,Leisure_Hobby
#31:8598,Work
#33:11932,Personal_Tasks_Errands
#31:8179,Work
#33:8110,Work
#33:8110,Pick_Up_Drop_Off
#30:12057,Personal_Tasks_Errands
#32:12792,Work
#32:12792,Pick_Up_Drop_Off
#30:8712,Work
#31:12849,Pick_Up_Drop_Off
#31:12849,Work
#31:12849,Home
#31:12018,Personal_Tasks_Errands
#32:11962,Personal_Tasks_Errands
#30:8978,Work
#33:8595,Business_Trip
#33:12761,Pick_Up_Drop_Off
#33:12761,Work
#30:12884,Home
#30:12884,Pick_Up_Drop_Off
#31:12019,Personal_Tasks_Errands
#32:11733,Work
#32:11733,Pick_Up_Drop_Off
#32:11733,Home
#31:11789,Work
#31:11789,Business_Trip
#31:8247,Business_Trip
#30:8298,Leisure_Hobby
#32:8624,Home
#31:8939,Work
#32:11963,Business_Trip
#31:12020,Personal_Tasks_Errands
#32:11964,Personal_Tasks_Errands
#33:12616,Personal_Tasks_Errands
#32:8311,Pick_Up_Drop_Off
#33:8359,Business_Trip
#33:8596,Work
#33:8596,Home
#32:8353,Work
#32:8623,Home
#31:8367,Business_Trip
#33:8325,Home
#33:8593,Home
#33:8593,Business_Trip
#33:8593,Work
#32:8386,Business_Trip
#31:8437,Business_Trip
#31:8427,Work
#32:8465,Work
#30:8476,Work
#33:8437,Work
#31:8443,Business_Trip
#33:8378,Business_Trip
#30:8521,Work
#33:8414,Business_Trip
#31:8517,Leisure_Hobby
#33:11702,Business_Trip
#33:11702,Home
#32:8466,Home
#33:11700,Work
#33:11700,Pick_Up_Drop_Off
#30:11825,Leisure_Hobby
#30:11825,Pick_Up_Drop_Off
#30:11825,Other
#32:11731,Work
#32:11731,Pick_Up_Drop_Off
#32:11731,Home
#33:8569,Leisure_Hobby
#30:8688,Home
#30:8708,Leisure_Hobby
#30:8708,Business_Trip
#30:8708,Home
#31:8760,Work
#31:8760,Pick_Up_Drop_Off
#31:11780,Work
#32:11725,Pick_Up_Drop_Off
#32:11725,Work
#32:11725,Home
#32:8678,Personal_Tasks_Errands
#30:8768,Personal_Tasks_Errands
#31:8742,Everyday_Shopping
#30:8785,Home
#32:8709,Home
#32:8709,Leisure_Hobby
#32:8698,Leisure_Hobby
#33:8681,Home
#33:8681,Leisure_Hobby
#33:8822,Home
#31:8879,Leisure_Hobby
#32:8850,Everyday_Shopping
#31:8829,Leisure_Hobby
#33:8800,Home
#32:8829,Everyday_Shopping
#32:8829,Leisure_Hobby
#33:8801,Home
#33:8808,Other
#30:11817,Everyday_Shopping
#30:8989,Leisure_Hobby
#30:11818,Other
#30:11818,Leisure_Hobby
#32:9546,Other
#31:8942,Pick_Up_Drop_Off
#31:8942,Leisure_Hobby
#31:8941,Leisure_Hobby
#32:11723,Other
#32:9101,Leisure_Hobby
#30:9637,Home
#31:8986,Work
#31:8986,Pick_Up_Drop_Off
#33:9073,Work
#30:11816,Work
#30:11816,Pick_Up_Drop_Off
#32:9016,Personal_Tasks_Errands
#31:9024,Work
#32:11721,Work
#32:11721,Pick_Up_Drop_Off
#32:11721,Home
#31:9068,Personal_Tasks_Errands
#31:9032,Everyday_Shopping
#31:9032,Personal_Tasks_Errands
#31:9153,Everyday_Shopping
#31:9153,Home
#33:8981,Work
#32:8992,Everyday_Shopping
#32:8992,Personal_Tasks_Errands
#33:8989,Home
#33:8989,Leisure_Hobby
#32:9002,Business_Trip
#33:10258,Work
#30:9108,Leisure_Hobby
#33:11691,Pick_Up_Drop_Off
#33:11691,Work
#33:11691,Home
#30:9192,Work
#32:10288,Work
#30:9460,Leisure_Hobby
#31:9344,Leisure_Hobby
#31:9421,Leisure_Hobby
#30:11814,Pick_Up_Drop_Off
#30:11814,Work
#30:11814,Home
#31:9263,Leisure_Hobby
#31:9396,Business_Trip
#32:9226,Home
#30:9317,Everyday_Shopping
#31:9343,Work
#31:11775,Pick_Up_Drop_Off
#31:11775,Work
#31:11775,Home
#31:9288,Work
#33:9263,Home
#30:9439,Everyday_Shopping
#30:9439,Business_Trip
#33:9264,Personal_Tasks_Errands
#31:9316,Everyday_Shopping
#31:11776,Personal_Tasks_Errands
#32:9302,Home
#30:9461,Home
#33:9296,Business_Trip
#32:9345,Business_Trip
#30:9435,Business_Trip
#32:9347,Work
#32:9347,Business_Trip
#32:9347,Personal_Tasks_Errands
#32:9370,Work
#33:9727,Work
#32:11718,Work
#32:9371,Other
#33:9352,Personal_Tasks_Errands
#32:9545,Personal_Tasks_Errands
#33:9358,Leisure_Hobby
#33:9381,Business_Trip
#31:9523,Personal_Tasks_Errands
#32:12788,Other
#32:9437,Work
#31:9571,Business_Trip
#31:9597,Work
#31:11756,Work
#31:11756,Business_Trip
#32:11700,Personal_Tasks_Errands
#32:9646,Work
#31:11757,Home
#31:11757,Pick_Up_Drop_Off
#32:9812,Leisure_Hobby
#33:11670,Everyday_Shopping
#32:9597,Other
#30:9738,Everyday_Shopping
#30:11795,Everyday_Shopping
#30:11795,Home
#32:9757,Leisure_Hobby
#30:9947,Leisure_Hobby
#32:9694,Other
#31:9908,Leisure_Hobby
#30:9849,Pick_Up_Drop_Off
#30:9849,Leisure_Hobby
#31:9821,Work
#31:9810,Leisure_Hobby
#33:11669,Other
#33:9740,Work
#32:9758,Leisure_Hobby
#32:11699,Everyday_Shopping
#32:11699,Home
#32:11699,Other
#31:9822,Work
#31:9822,Business_Trip
#31:9823,Home
#30:11793,Leisure_Hobby
#30:11793,Pick_Up_Drop_Off
#30:11793,Other
#32:9989,Leisure_Hobby
#32:9989,Other
#32:11698,Home
#32:11698,Pick_Up_Drop_Off
#32:11698,Other
#30:9948,Leisure_Hobby
#33:14612,Leisure_Hobby
#31:11753,Work
#31:11753,Business_Trip
#32:14643,Work
#30:14740,Work
#31:14701,Work
#32:14645,Home
#31:10070,Personal_Tasks_Errands
#31:10070,Leisure_Hobby
#33:11668,Home
#32:10378,Business_Trip
#33:11665,Work
#33:11665,Pick_Up_Drop_Off
#30:10256,Pick_Up_Drop_Off
#30:10256,Work
#31:11751,Work
#31:11751,Business_Trip
#31:11752,Pick_Up_Drop_Off
#31:11752,Home
#31:11752,Work
#33:10157,Business_Trip
#31:10217,Home
#31:10217,Leisure_Hobby
#31:10217,Personal_Tasks_Errands
#33:10349,Personal_Tasks_Errands
#30:10472,Personal_Tasks_Errands
#31:10854,Work
#31:10352,Personal_Tasks_Errands
#33:10341,Everyday_Shopping
#30:10464,Home
#33:11654,Pick_Up_Drop_Off
#33:11654,Pick_Up_Drop_Off
#30:10429,Personal_Tasks_Errands
#30:10429,Work
#32:10392,Everyday_Shopping
#32:10392,Leisure_Hobby
#32:10388,Work
#32:10388,Everyday_Shopping
#31:10406,Work
#31:10406,Home
#31:10406,Leisure_Hobby
#32:10358,Personal_Tasks_Errands
#32:10389,Everyday_Shopping
#33:10360,Home
#33:10360,Everyday_Shopping
#30:10696,Business_Trip
#30:10573,Business_Trip
#30:10573,Personal_Tasks_Errands
#31:10658,Business_Trip
#32:10523,Work
#33:10515,Work
#30:10587,Work
#32:11690,Work
#32:11690,Pick_Up_Drop_Off
#32:10493,Pick_Up_Drop_Off
#31:10578,Work
#30:10625,Home
#30:10625,Pick_Up_Drop_Off
#30:10625,Personal_Tasks_Errands
#30:10639,Leisure_Hobby
#32:11691,Work
#32:11691,Business_Trip
#31:11636,Other
#32:11692,Pick_Up_Drop_Off
#32:11692,Business_Trip
#32:11692,Home
#30:10617,Work
#32:10551,Work
#31:10593,Other
#32:10562,Leisure_Hobby
#30:10698,Business_Trip
#31:10801,Home
#30:10766,Personal_Tasks_Errands
#33:10537,Home
#33:10542,Home
#31:10727,Personal_Tasks_Errands
#33:10821,Pick_Up_Drop_Off
#33:10821,Leisure_Hobby
#33:10821,Everyday_Shopping
#33:11536,Other
#32:10943,Leisure_Hobby
#30:11675,Other
#30:10701,Leisure_Hobby
#32:11565,Other
#32:10607,Leisure_Hobby
#31:10999,Home
#32:10620,Personal_Tasks_Errands
#32:10672,Business_Trip
#32:10672,Leisure_Hobby
#32:10672,Personal_Tasks_Errands
#30:11674,Other
#32:10721,Other
#30:10738,Work
#31:10793,Work
#33:10691,Other
#31:10905,Business_Trip
#33:10724,Business_Trip
#32:13254,Work
#32:11630,Work
#32:11630,Pick_Up_Drop_Off
#32:11630,Personal_Tasks_Errands
#33:10708,Work
#30:11726,Pick_Up_Drop_Off
#30:11726,Home
#32:10746,Work
#33:11602,Pick_Up_Drop_Off
#33:11602,Home
#33:11602,Work
#33:10717,Work
#31:11620,Personal_Tasks_Errands
#30:10841,Home
#33:10915,Home
#32:10850,Business_Trip
#32:10850,Everyday_Shopping
#32:10850,Work
#32:10850,Pick_Up_Drop_Off
#30:10849,Business_Trip
#30:10849,Pick_Up_Drop_Off
#30:10849,Personal_Tasks_Errands
#32:10918,Everyday_Shopping
#32:10918,Pick_Up_Drop_Off
#32:11570,Personal_Tasks_Errands
#30:11660,Other
#31:11624,Other
#33:11753,Work
#30:11666,Other
#33:10865,Everyday_Shopping
#32:11579,Other
#32:11579,Personal_Tasks_Errands
#31:10968,Other
#32:10937,Home
#30:11878,Work
#30:11016,Other
#33:11600,Leisure_Hobby
#33:11600,Other
#30:11673,Other
#33:11543,Other
#30:11725,Home
#30:11725,Other
#32:12329,Pick_Up_Drop_Off
#30:11667,Other
#32:11578,Personal_Tasks_Errands
#33:12300,Personal_Tasks_Errands
#33:11535,Other
#30:11658,Personal_Tasks_Errands
#31:11632,Other
#32:11051,Other
#31:11684,Leisure_Hobby
#31:11684,Pick_Up_Drop_Off
#33:11599,Home
#33:11599,Pick_Up_Drop_Off
#33:11243,Work
#32:11564,Personal_Tasks_Errands
#33:11238,Leisure_Hobby
#30:11211,Other
#32:11629,Everyday_Shopping
#31:11685,Personal_Tasks_Errands
#32:11627,Other
#32:11560,Personal_Tasks_Errands
#32:11626,Work
#32:11626,Everyday_Shopping
#32:11626,Pick_Up_Drop_Off
#32:11267,Work
#33:11597,Pick_Up_Drop_Off
#33:11597,Home
#32:11272,Leisure_Hobby
#33:11418,Other
#33:11711,Personal_Tasks_Errands
#31:11796,Pick_Up_Drop_Off
#31:11796,Work
#31:11628,Other
#33:11422,Personal_Tasks_Errands
#32:11625,Personal_Tasks_Errands
#32:11625,Leisure_Hobby
#31:11681,Work
#32:11562,Personal_Tasks_Errands
#32:11452,Other
#33:11437,Other
#31:11538,Other
#30:11720,Home
#33:13226,Home
#30:12060,Work
#30:13353,Pick_Up_Drop_Off
#31:12021,Personal_Tasks_Errands
#30:13355,Leisure_Hobby
#32:11965,Personal_Tasks_Errands
#31:13318,Work
#30:11794,Work
#31:11759,Work
#30:12162,Work
#30:12162,Business_Trip
#31:11876,Pick_Up_Drop_Off
#32:11711,Work
#33:11721,Business_Trip
#30:12061,Personal_Tasks_Errands
#33:11692,Work
#30:11876,Pick_Up_Drop_Off
#31:12022,Work
#31:12123,Work
#31:12123,Business_Trip
#32:11738,Business_Trip
#30:11986,Work
#32:11750,Leisure_Hobby
#32:11750,Everyday_Shopping
#33:11836,Work
#30:12425,Work
#32:11757,Work
#32:11995,Work
#32:11754,Other
#33:12038,Home
#33:11861,Work
#31:11938,Business_Trip
#30:11985,Work
#33:12055,Pick_Up_Drop_Off
#33:12055,Home
#33:11746,Home
#30:12047,Business_Trip
#32:11769,Work
#32:11771,Work
#32:12539,Personal_Tasks_Errands
#32:12539,Other
#33:12505,Personal_Tasks_Errands
#33:12505,Other
#31:11900,Work
#31:11900,Pick_Up_Drop_Off
#31:11900,Everyday_Shopping
#32:11789,Work
#33:11848,Work
#31:11958,Work
#32:12330,Work
#33:12509,Personal_Tasks_Errands
#33:12509,Other
#31:11862,Leisure_Hobby
#33:11794,Work
#30:11906,Work
#32:11901,Work
#32:11837,Pick_Up_Drop_Off
#30:11962,Home
#32:12716,Work
#30:12077,Home
#30:12077,Work
#30:12077,Pick_Up_Drop_Off
#31:12386,Work
#30:11910,Home
#30:11910,Personal_Tasks_Errands
#32:11806,Business_Trip
#31:12772,Work
#32:13261,Home
#32:11811,Business_Trip
#31:11882,Home
#31:11882,Pick_Up_Drop_Off
#31:11957,Home
#31:11957,Work
#31:11957,Home
#31:11957,Business_Trip
#30:11914,Personal_Tasks_Errands
#32:11858,Home
#33:11793,Leisure_Hobby
#30:11922,Home
#33:13014,Work
#33:13014,Work
#32:11918,Leisure_Hobby
#31:11879,Leisure_Hobby
#33:11888,Home
#30:11954,Business_Trip
#30:11954,Work
#30:11954,Pick_Up_Drop_Off
#30:11954,Personal_Tasks_Errands
#31:12590,Personal_Tasks_Errands
#31:12590,Other
#32:12538,Personal_Tasks_Errands
#32:12538,Other
#33:11852,Home
#32:11867,Everyday_Shopping
#31:12054,Home
#31:11894,Pick_Up_Drop_Off
#31:11894,Work
#31:11908,Home
#31:11908,Everyday_Shopping
#31:11908,Business_Trip
#31:11908,Personal_Tasks_Errands
#33:11847,Leisure_Hobby
#32:12084,Pick_Up_Drop_Off
#32:12084,Other
#33:12723,Home
#32:11893,Personal_Tasks_Errands
#33:11826,Home
#33:11826,Work
#33:11826,Pick_Up_Drop_Off
#31:11893,Other
#31:12140,Home
#31:12140,Pick_Up_Drop_Off
#31:12140,Other
#33:11834,Home
#33:11834,Work
#33:11834,Work
#33:11834,Everyday_Shopping
#33:11927,Everyday_Shopping
#32:11844,Personal_Tasks_Errands
#31:11907,Leisure_Hobby
#30:12629,Other
#30:12629,Personal_Tasks_Errands
#31:12593,Everyday_Shopping
#31:12593,Personal_Tasks_Errands
#31:12593,Other
#32:11966,Personal_Tasks_Errands
#31:11920,Leisure_Hobby
#33:11867,Personal_Tasks_Errands
#33:11869,Personal_Tasks_Errands
#31:11914,Leisure_Hobby
#32:11947,Leisure_Hobby
#32:11917,Leisure_Hobby
#30:11993,Home
#30:11980,Personal_Tasks_Errands
#33:11855,Other
#33:11855,Home
#31:11954,Home
#30:12740,Leisure_Hobby
#31:11974,Home
#32:11948,Everyday_Shopping
#33:11887,Home
#33:11887,Leisure_Hobby
#33:11887,Everyday_Shopping
#31:11965,Leisure_Hobby
#31:12008,Home
#31:12111,Work
#31:12111,Work
#33:11975,Work
#31:12128,Work
#30:12223,Work
#33:11943,Leisure_Hobby
#33:12538,Work
#33:12139,Work
#32:12117,Business_Trip
#31:12031,Business_Trip
