legid,activity
#24:16316,Talking
#24:16316,Accompanying
#24:16318,Cycling
#24:16318,Talking
#24:16318,Accompanying
#23:16359,Cycling
#22:16393,Other
#23:16366,Other
#22:16394,Cycling
#22:16394,Browsing
#22:16394,Listening
#22:16394,Thinking
#22:16394,Thinking
#22:16394,Cycling
#24:16432,Relaxing
#24:16432,Thinking
#25:16313,Cycling
#25:16321,Cycling
#23:16410,Cycling
#24:16365,Cycling
#22:16451,Cycling
#24:16379,Other
#22:17077,Cycling
#25:16343,Cycling
#22:16497,Relaxing
#22:16497,Browsing
#22:16497,ReadingPaper
#22:16497,Thinking
#25:16365,Walking
#25:16365,Browsing
#22:16495,Talking
#22:16495,Accompanying
#22:16495,PersonalCare
#22:16494,Walking
#24:16434,Listening
#24:16434,Thinking
#24:16441,Walking
#24:16441,Thinking
#23:16758,Cycling
#23:16758,Accompanying
#23:16758,Talking
#22:16526,Thinking
#22:16526,Relaxing
#22:16526,ReadingDevice
#22:16731,Browsing
#24:16713,Cycling
#22:16563,Thinking
#25:16673,Cycling
#22:16732,Walking
#22:16732,Thinking
#22:16734,Accompanying
#22:16734,Eating
#25:16674,Relaxing
#25:16674,ReadingDevice
#23:16516,Cycling
#23:16516,Other
#22:16564,Walking
#22:16564,Accompanying
#22:16564,Talking
#22:16583,Walking
#22:16583,Talking
#23:16541,Cycling
#23:16541,Talking
#23:16541,Accompanying
#25:16470,Walking
#25:16470,Talking
#25:16675,Accompanying
#25:16675,Talking
#25:16675,Driving
#24:16511,Walking
#24:16511,Talking
#24:16511,Eating
#23:16560,Thinking
#24:17497,Accompanying
#24:17497,PersonalCare
#24:16716,Walking
#22:16791,Driving
#22:16791,Talking
#22:16791,Accompanying
#23:16646,Cycling
#23:16646,Talking
#23:16646,Accompanying
#23:16642,Talking
#23:16642,Cycling
#23:16642,Accompanying
#22:16721,Accompanying
#22:16721,Talking
#25:16620,Accompanying
#22:16816,Accompanying
#22:16816,Talking
#22:16816,Walking
#23:16788,Thinking
#23:16788,Walking
#24:16742,Listening
#24:16742,ReadingDevice
#22:16749,Relaxing
#22:16749,ReadingDevice
#22:16749,Thinking
#22:16865,Walking
#23:16708,Walking
#23:16834,Relaxing
#23:16748,Walking
#23:16748,Thinking
#22:16797,Cycling
#22:16797,Thinking
#25:16976,Driving
#25:16745,Thinking
#23:16770,Walking
#23:16770,Listening
#23:16760,Walking
#23:16760,Accompanying
#23:16760,Talking
#23:16843,Talking
#23:16821,Listening
#23:16821,Thinking
#23:16821,Talking
#25:16813,Cycling
#23:16830,Walking
#23:16830,Thinking
#23:16898,Cycling
#25:16764,Cycling
#25:16796,Cycling
#25:16796,Accompanying
#25:16796,Talking
#24:16947,Browsing
#24:16947,Listening
#25:16806,Accompanying
#25:16806,Talking
#25:16806,Walking
#25:16904,Listening
#23:17242,Cycling
#23:17242,Accompanying
#23:17242,Talking
#24:17060,ReadingDevice
#24:17060,Browsing
#24:16897,Cycling
#24:16897,Thinking
#22:17270,Talking
#24:17072,Cycling
#24:17072,Thinking
#25:17031,Cycling
#25:17031,Thinking
#23:17240,Accompanying
#23:17240,Talking
#25:17020,Walking
#22:17269,Cycling
#23:17119,Cycling
#23:17119,Thinking
#22:17267,Cycling
#22:17267,Accompanying
#25:17054,Thinking
#23:17192,Cycling
#23:17192,Thinking
#23:17216,Cycling
#23:17216,Thinking
#25:17600,Cycling
#25:17600,Thinking
#25:17168,Talking
#25:17168,Accompanying
#25:34356,Walking
#22:17285,Talking
#22:17285,Accompanying
#23:17256,Cycling
#23:17256,Thinking
#22:17263,Talking
#23:17315,Thinking
#23:17315,Cycling
#22:17635,Cycling
#22:17635,Accompanying
#24:17278,Cycling
#24:17278,Thinking
#25:18243,Cycling
#25:17555,Cycling
#25:17555,Thinking
#24:18287,Cycling
#23:17438,Accompanying
#23:17438,Talking
#24:17305,Talking
#22:17636,Cycling
#22:17636,Accompanying
#25:17681,Walking
#25:17680,Cycling
#24:17555,Talking
#24:17555,Accompanying
#23:17769,Accompanying
#23:17769,Thinking
#23:17769,Talking
#23:17769,Listening
#23:17775,Walking
#23:17775,Accompanying
#23:17775,Talking
#23:17536,Talking
#23:17536,Cycling
#23:17536,Accompanying
#22:17702,Walking
#22:17702,Talking
#22:17702,Accompanying
#22:17702,Eating
#22:17702,PersonalCare
#23:17779,Accompanying
#25:17689,Relaxing
#23:18340,Cycling
#23:18340,Accompanying
#23:18340,Other
#22:17583,Cycling
#22:17583,Accompanying
#22:17583,Talking
#22:17633,Cycling
#22:17633,Talking
#22:17633,Accompanying
#22:17813,Walking
#22:17813,Talking
#25:17737,Accompanying
#25:17737,PersonalCare
#25:17674,Accompanying
#25:17674,Talking
#25:17674,Listening
#25:17674,Thinking
#25:17512,Accompanying
#25:17512,Cycling
#22:17821,Talking
#23:17827,Accompanying
#24:17553,Cycling
#24:17553,Talking
#24:17553,Accompanying
#24:19321,Cycling
#24:19321,Talking
#22:17829,Browsing
#22:17829,ReadingDevice
#24:17746,Browsing
#22:17827,Walking
#23:17798,Browsing
#23:17798,Listening
#24:18294,Cycling
#25:18252,Cycling
#23:17791,Relaxing
#23:19371,Cycling
#22:17905,Browsing
#24:18086,Thinking
#23:18957,Thinking
#24:17784,Cycling
#23:17832,Cycling
#22:17976,Walking
#22:17976,Thinking
#25:17854,Walking
#25:17854,Thinking
#23:19373,Cycling
#22:18480,Accompanying
#25:19824,Walking
#23:19375,Cycling
#23:19375,Talking
#23:19912,Browsing
#25:19286,Talking
#25:19286,Accompanying
#24:19862,Browsing
#22:19408,Talking
#22:19408,Accompanying
#24:18910,Accompanying
#24:18910,PersonalCare
#25:18868,Accompanying
#25:18868,PersonalCare
#23:19377,Accompanying
#23:19377,Cycling
#23:19377,Talking
#23:18132,Accompanying
#23:18132,Talking
#23:18686,Cycling
#24:18084,Browsing
#22:19939,ReadingDevice
#23:18450,Cycling
#25:18226,Accompanying
#25:18226,Other
#22:19399,Cycling
#24:18444,Accompanying
#23:19394,Accompanying
#23:19394,Talking
#23:19394,Walking
#23:19365,Cycling
#23:19365,Accompanying
#24:19254,Cycling
#24:19254,Thinking
#22:19938,Thinking
#22:19934,Eating
#22:19934,Accompanying
#24:19802,Eating
#24:19245,Walking
#23:20051,Walking
#23:20051,Accompanying
#23:20051,Talking
#23:20051,Thinking
#23:19843,Relaxing
#22:19937,Relaxing
#25:19962,Cycling
#25:19962,Thinking
#25:19813,Walking
#25:19813,Thinking
#22:19935,Accompanying
#22:19935,Talking
#25:19748,Eating
#22:19623,Cycling
#24:20005,Cycling
#24:20005,Thinking
#23:20053,Cycling
#23:20053,Thinking
#25:19746,Walking
#24:21122,ReadingDevice
#24:21122,Talking
#24:21122,Thinking
#25:19744,Walking
#23:20199,Cycling
#22:20933,Thinking
#22:19865,Eating
#22:20229,Talking
#22:20229,Eating
#23:20198,Cycling
#22:20237,Thinking
#22:20237,Walking
#24:20854,Walking
#23:20902,Accompanying
#24:20159,Cycling
#25:19814,Relaxing
#25:19891,Accompanying
#24:19890,Walking
#24:19890,Thinking
#25:20109,Talking
#25:20109,Accompanying
#25:20118,Cycling
#22:21202,Cycling
#22:21202,Thinking
#24:21066,Talking
#24:21066,Accompanying
#24:21066,PersonalCare
#23:20209,Cycling
#23:20197,Accompanying
#23:20197,Talking
#25:21081,Cycling
#25:21081,Thinking
#22:20242,Cycling
#22:20228,Walking
#22:20228,Thinking
#22:21204,Cycling
#22:21204,Thinking
#22:21134,PersonalCare
#22:20485,Thinking
#22:21122,Talking
#24:20397,Cycling
#24:20397,Thinking
#23:21100,PersonalCare
#23:21100,Thinking
#23:21192,Talking
#23:21192,Thinking
#25:21012,PersonalCare
#23:20623,Cycling
#24:21146,Cycling
#24:21146,Thinking
#25:20652,Talking
#22:20874,Accompanying
#22:20874,Talking
#22:20874,Walking
#25:20751,Accompanying
#24:21030,Accompanying
#24:21030,Talking
#22:21111,Accompanying
#22:21111,Talking
#23:21075,Accompanying
#23:21075,PersonalCare
#23:21423,Accompanying
#23:21423,Talking
#24:21028,Accompanying
#24:21028,PersonalCare
#25:20986,Accompanying
#22:21108,Accompanying
#22:21125,Accompanying
#22:21125,Talking
#22:21450,Listening
#22:21450,ReadingDevice
#22:21458,ReadingDevice
#22:21458,Talking
#22:21458,Thinking
#25:21339,ReadingDevice
#25:21339,Talking
#25:21339,Thinking
#25:21408,Cycling
#24:21503,Cycling
#23:23237,Walking
#23:23237,Accompanying
#22:21877,Accompanying
#22:21877,Talking
#22:23262,Cycling
#22:23262,Accompanying
#25:21965,Thinking
#25:21965,Cycling
#23:23218,Walking
#23:23218,Accompanying
#25:22120,Browsing
#25:22120,Talking
#23:22759,Cycling
#22:23247,Walking
#24:22500,Walking
#24:22500,Eating
#24:22500,Thinking
#24:22500,PersonalCare
#22:23018,Listening
#22:23018,ReadingDevice
#25:23102,Cycling
#25:22776,Cycling
#22:22905,Cycling
#23:23590,Listening
#23:23581,Walking
#23:23581,Accompanying
#23:23581,Talking
#24:23530,Walking
#24:23530,Accompanying
#22:23118,Cycling
#22:23118,Browsing
#22:23118,Thinking
#22:23118,Cycling
#22:23118,Browsing
#22:23118,Thinking
#22:23545,Accompanying
#22:23545,Walking
#25:22995,Cycling
#25:23498,Cycling
#25:23498,Thinking
#25:23293,Browsing
#24:23387,Accompanying
#24:23387,Walking
#24:23532,Cycling
#29:6567,Thinking
#22:23574,Cycling
#22:23574,Other
#25:23499,Cycling
#25:23499,Thinking
#22:23570,Cycling
#24:23541,Cycling
#23:23534,Cycling
#23:23534,Thinking
#22:23581,Browsing
#22:23581,ReadingDevice
#22:23581,Watching
#24:24123,Walking
#23:23558,Cycling
#23:23558,Listening
#23:23558,Thinking
#22:23651,Cycling
#22:23651,Thinking
#22:23655,Cycling
#22:23655,Thinking
#25:24065,Cycling
#23:23714,Cycling
#25:23601,Cycling
#25:23601,Thinking
#22:23789,Cycling
#23:23701,Cycling
#23:23701,Thinking
#23:23797,Cycling
#23:23797,Talking
#23:23797,Thinking
#22:23880,Accompanying
#22:23880,Walking
#22:23880,Talking
#22:23880,Thinking
#23:23848,Walking
#23:23848,Talking
#23:23848,Accompanying
#23:23848,Thinking
#23:24157,Accompanying
#25:25507,Talking
#25:25507,Talking
#22:24879,Cycling
#22:24879,Thinking
#23:24114,Cycling
#23:24114,Thinking
#25:24047,Cycling
#25:24063,Cycling
#23:24115,Accompanying
#23:24115,Cycling
#23:24115,Thinking
#24:24067,Cycling
#24:24067,Thinking
#25:24111,Cycling
#22:24230,Cycling
#22:24230,Talking
#25:24147,Accompanying
#22:24289,Walking
#22:24289,Thinking
#22:26542,PersonalCare
#22:26542,Talking
#22:26542,Cycling
#22:26542,Accompanying
#25:24333,Talking
#25:24333,Listening
#23:24846,Accompanying
#23:24846,Talking
#24:24225,Cycling
#24:24225,Thinking
#22:24878,Cycling
#22:24878,Talking
#22:24878,Accompanying
#22:24878,PersonalCare
#23:24294,Cycling
#23:24294,Thinking
#24:24292,Cycling
#24:24274,Driving
#24:24274,Thinking
#24:24274,Listening
#25:24249,Cycling
#25:24699,Walking
#25:24699,Thinking
#22:24790,Accompanying
#22:24826,Cycling
#22:24826,Accompanying
#22:24826,Thinking
#22:24826,Talking
#24:24485,Driving
#22:24705,Cycling
#24:24745,Accompanying
#24:24745,Talking
#24:24745,Walking
#24:24745,Thinking
#25:24643,Accompanying
#25:24643,Talking
#25:24643,Eating
#23:24736,Cycling
#23:24747,Listening
#23:24747,Cycling
#25:24747,Talking
#25:24991,Cycling
#22:24904,Cycling
#22:24904,Accompanying
#22:24904,Talking
#22:24904,Thinking
#23:24873,Walking
#23:24873,Accompanying
#23:24873,Talking
#23:24873,Thinking
#24:24824,Walking
#24:24824,Accompanying
#24:24824,Talking
#24:24824,Thinking
#22:25120,Driving
#22:25120,Thinking
#22:25120,Listening
#25:25591,Cycling
#23:25088,Driving
#23:25088,Listening
#23:25088,Thinking
#23:25691,Cycling
#24:25219,Driving
#24:25219,Listening
#24:25219,Thinking
#25:25175,Accompanying
#25:25175,Talking
#25:25175,Thinking
#22:25303,Walking
#22:25303,Other
#23:25692,Cycling
#23:25337,Cycling
#23:27799,Relaxing
#23:27799,Browsing
#23:27799,Thinking
#23:25453,Walking
#23:25453,Talking
#23:25453,Accompanying
#23:25453,Eating
#24:25474,Talking
#24:25474,Accompanying
#24:25474,Browsing
#24:25474,Eating
#25:26856,Accompanying
#25:26856,Talking
#25:26856,Driving
#25:26856,Thinking
#25:26860,Thinking
#25:26860,Accompanying
#25:26860,Talking
#25:26860,Driving
#22:26744,Accompanying
#22:26744,Talking
#24:26664,Listening
#24:26664,Accompanying
#24:26664,Talking
#22:26066,Thinking
#24:26915,Accompanying
#24:26915,Talking
#24:26915,Walking
#23:26310,Cycling
#23:26310,Talking
#23:26310,Accompanying
#24:26261,Cycling
#24:26261,Talking
#24:26261,Accompanying
#25:26410,Thinking
#25:27720,Walking
#25:27720,Thinking
#25:27720,Eating
#24:26862,Cycling
#24:26862,Thinking
#23:26751,Walking
#22:27068,Cycling
#22:27068,Thinking
#25:27214,Cycling
#25:27643,Walking
#25:27643,Thinking
#25:27121,Cycling
#23:27098,Walking
#23:27098,Eating
#23:27098,Thinking
#23:27096,Walking
#24:27259,Walking
#22:27480,Cycling
#22:27480,Thinking
#23:27309,Cycling
#24:27687,Talking
#24:27687,Walking
#24:27687,Thinking
#22:27767,Accompanying
#22:27767,Walking
#22:27767,Thinking
#22:27767,Walking
#22:27767,Thinking
#22:27767,Accompanying
#22:27767,Talking
#24:27995,Cycling
#24:27995,Thinking
#23:27692,Relaxing
#25:27640,Cycling
#24:27736,Thinking
#25:27727,Walking
#25:27727,Eating
#25:27727,Talking
#25:27727,Thinking
#22:28302,Cycling
#25:27774,Accompanying
#22:28683,Cycling
#23:28023,Walking
#23:28023,Accompanying
#23:28023,Talking
#24:29644,Cycling
#24:29644,Accompanying
#25:27954,Cycling
#25:27954,Thinking
#24:28264,Accompanying
#24:28264,Cycling
#25:27877,Accompanying
#25:29600,Cycling
#25:29600,Accompanying
#24:28025,Walking
#22:28249,Cycling
#22:28249,Thinking
#24:28094,Accompanying
#24:28094,Thinking
#23:28217,Cycling
#23:28217,Thinking
#22:28342,Cycling
#22:28342,Accompanying
#22:28176,Accompanying
#24:28556,ReadingPaper
#24:28556,Talking
#24:28556,Accompanying
#23:28781,Cycling
#23:28781,Thinking
#22:29380,Cycling
#23:28399,Talking
#25:28214,Cycling
#24:28255,Cycling
#24:28255,Thinking
#25:28388,Cycling
#24:28581,Accompanying
#24:29566,Walking
#24:29566,Thinking
#24:29566,Eating
#22:28664,Accompanying
#23:28658,Cycling
#22:28938,Listening
#22:28938,ReadingDevice
#25:29574,Cycling
#25:29574,Thinking
#25:28684,Talking
#25:28684,Accompanying
#25:28684,Cycling
#23:28644,Browsing
#23:28644,ReadingPaper
#23:28644,Accompanying
#23:28644,Talking
#23:29668,Cycling
#23:29668,Thinking
#25:28872,ReadingPaper
#25:28872,Browsing
#25:29572,ReadingPaper
#25:29572,Talking
#24:31221,Cycling
#24:31221,Thinking
#23:29694,Cycling
#24:28962,Cycling
#23:29024,Cycling
#23:29024,Thinking
#24:29643,Accompanying
#24:29643,Talking
#24:29643,Eating
#24:29364,Cycling
#25:30626,Listening
#25:30626,ReadingDevice
#24:29565,Cycling
#24:29565,Thinking
#24:29642,Cycling
#25:29521,Talking
#23:29691,Cycling
#25:29595,Browsing
#25:29595,ReadingDevice
#24:29641,Accompanying
#24:29641,Talking
#25:29724,Accompanying
#25:29976,Walking
#22:30057,Cycling
#22:30057,Accompanying
#23:29946,Thinking
#23:29946,Walking
#23:30130,Cycling
#22:30083,Cycling
#22:30083,Thinking
#23:30131,Accompanying
#23:30131,Talking
#24:30083,Cycling
#25:30628,Accompanying
#25:30628,Talking
#22:30453,Accompanying
#22:30453,Cycling
#22:30453,Talking
#23:30723,Cycling
#24:30375,Accompanying
#24:30375,Cycling
#25:31769,Cycling
#22:30716,Cycling
#22:30716,Talking
#22:30716,Accompanying
#29:8906,ReadingPaper
#24:31167,Listening
#24:31167,ReadingDevice
#25:30809,Walking
#25:30809,Talking
#25:30809,Accompanying
#25:31096,Walking
#25:31096,Talking
#25:31096,Accompanying
#24:31814,Cycling
#24:31814,Thinking
#25:31770,Cycling
#22:31102,Cycling
#22:31102,Thinking
#23:31782,Walking
#24:31734,Cycling
#24:31894,Accompanying
#24:31776,Walking
#24:31776,Listening
#24:31776,Eating
#25:31732,Listening
#25:31732,Eating
#25:31732,Thinking
#24:31789,Cycling
#24:31789,Thinking
#24:31993,ReadingPaper
#22:32085,Browsing
#22:32085,ReadingDevice
#24:32287,Accompanying
#24:32287,Talking
#24:32287,Walking
#25:31957,Cycling
#25:31957,Thinking
#23:32339,Walking
#23:32339,Accompanying
#23:32339,Talking
#22:32217,Driving
#22:32217,Listening
#22:32217,Eating
#22:32790,Talking
#22:32790,Accompanying
#24:32706,Talking
#24:32706,Accompanying
#25:33868,Listening
#22:33252,Walking
#22:33252,Talking
#22:33252,Accompanying
#23:32889,Listening
#23:32889,ReadingDevice
#23:32753,Browsing
#23:32753,Listening
#25:32792,Cycling
#24:32835,Cycling
#25:33609,Cycling
#25:33609,Thinking
#25:33506,Listening
#23:33046,Talking
#24:33343,Walking
#24:33343,Thinking
#23:33444,Browsing
#23:33444,ReadingDevice
#23:33444,Thinking
#23:33852,Cycling
#23:33852,Thinking
#22:33700,Accompanying
#22:33700,Talking
#23:33699,Cycling
#23:33851,Cycling
#23:33851,Thinking
#22:34057,Walking
#22:34057,Thinking
#22:34057,PersonalCare
#24:33971,Cycling
#24:33971,Other
#23:33939,Listening
#22:34058,Accompanying
#22:34058,Walking
#22:34152,Cycling
#25:34204,PersonalCare
#25:34366,Thinking
#23:34312,Cycling
#23:34312,Accompanying
#24:34320,Listening
#24:34320,Browsing
#22:35652,Cycling
#22:34702,Cycling
#22:34702,Thinking
#22:35406,Walking
#22:35406,Talking
#22:35406,Accompanying
#22:35406,PersonalCare
#22:35406,Thinking
#22:34912,Listening
#24:34826,Browsing
#24:34826,ReadingDevice
#24:34826,Thinking
#23:34877,Thinking
#23:34877,Other
#25:34980,Cycling
#25:34980,Thinking
#24:34954,Cycling
#24:34954,Thinking
#24:34954,Other
#25:35199,Thinking
#25:35142,Walking
#25:35142,Talking
#25:35142,Accompanying
#22:35167,ReadingDevice
#22:35167,Talking
#22:35167,Thinking
#24:35213,Walking
#24:35213,Talking
#24:35213,Accompanying
#24:35145,Talking
#24:35145,Thinking
#24:35145,PersonalCare
#24:35145,Walking
#22:35332,Listening
#22:35299,Cycling
#22:35299,Thinking
#25:35403,Cycling
#25:35403,Thinking
#25:35558,Cycling
#25:35558,Thinking
#24:35752,Cycling
#24:35752,Thinking
#24:35752,Other
#22:36001,Driving
#22:36001,Other
#25:35540,Listening
#25:35540,ReadingDevice
#22:35610,Walking
#22:35610,Thinking
#23:35964,Talking
#23:35964,Accompanying
#23:35964,Walking
#25:35780,Walking
#25:35780,Talking
#25:35780,Thinking
#25:35780,Accompanying
#23:35945,Walking
#23:35945,Thinking
#23:35945,Talking
#25:36450,Accompanying
#25:36450,Talking
#25:35703,Thinking
#23:35879,Cycling
#23:35879,Thinking
#23:35948,Walking
#23:35948,Accompanying
#23:35948,Talking
#23:35948,Eating
#23:35948,Thinking
#23:35801,Cycling
#23:35801,Talking
#23:35801,Thinking
#25:35851,Cycling
#22:35976,Browsing
#23:35941,Browsing
#22:36308,Listening
#22:36308,Cycling
#22:36340,Cycling
#22:36340,Thinking
#24:37066,Talking
#24:37066,Accompanying
#23:37669,Walking
#23:37669,Accompanying
#23:36305,Walking
#23:36305,Talking
#23:36305,Accompanying
#22:36515,Cycling
#22:36515,Thinking
#22:36515,Other
#25:36094,Walking
#25:36094,Thinking
#24:36255,Cycling
#23:36271,Cycling
#23:36271,Listening
#23:36271,Talking
#25:36210,Cycling
#24:37067,Walking
#24:37619,Cycling
#24:37619,Thinking
#24:36858,Accompanying
#24:36858,Talking
#24:36858,PersonalCare
#24:37620,Walking
#24:37620,Talking
#23:36910,Talking
#23:36910,PersonalCare
#23:36910,Accompanying
#25:36816,Talking
#25:36816,Relaxing
#22:36997,Cycling
#22:36997,Thinking
#23:37075,Walking
#23:37075,Thinking
#22:37034,Cycling
#25:37209,Accompanying
#25:37209,Talking
#25:37209,Thinking
#25:37209,PersonalCare
#22:37715,Cycling
#22:37685,Cycling
#24:37222,Cycling
#24:37222,Thinking
#25:37573,Accompanying
#25:37573,Walking
#25:38519,Talking
#24:37406,Walking
#24:37406,Talking
#22:37725,Walking
#22:37725,Talking
#23:37685,Walking
#23:37685,Accompanying
#23:37685,Talking
#22:38657,Talking
#24:37405,Walking
#24:37405,Talking
#24:37405,Thinking
#25:37356,Walking
#25:37356,Talking
#25:37356,Thinking
#25:37486,Cycling
#25:37486,Accompanying
#25:37486,Talking
#25:37486,Thinking
#25:37534,Relaxing
#25:37534,Browsing
#25:37534,Talking
#25:37534,Thinking
#25:37578,Cycling
#24:37635,Talking
#24:37635,Accompanying
#22:38306,Relaxing
#22:38306,Browsing
#22:38306,Talking
#22:38306,Thinking
#22:38648,Cycling
#25:38510,Accompanying
#23:38165,Talking
#23:38165,Accompanying
#22:38114,Other
#25:37975,Talking
#23:38607,Accompanying
#23:38607,Talking
#25:38072,Cycling
#25:38072,Accompanying
#23:38075,Cycling
#24:38556,Accompanying
#22:38490,Walking
#22:38490,Accompanying
#25:38290,Talking
#23:38606,Talking
#23:38606,Accompanying
#24:38401,Relaxing
#24:38401,Browsing
#24:38401,Talking
#25:38473,Listening
#25:38473,Relaxing
#25:38473,ReadingDevice
#25:38473,Talking
#25:38473,Thinking
#25:38473,PersonalCare
#25:38579,Relaxing
#25:38579,Thinking
#24:38714,Cycling
#24:38714,Listening
#25:38577,Cycling
#25:38577,Thinking
#22:38915,Walking
#23:38875,Cycling
#24:39020,Accompanying
#25:38857,Walking
#23:38966,Eating
#25:38683,Walking
#25:38683,Accompanying
#25:38683,Talking
#22:38789,Walking
#22:38789,Accompanying
#23:38967,Eating
#23:38781,Walking
#23:38781,Talking
#23:38781,Thinking
#23:39694,Accompanying
#23:39694,Talking
#24:38906,Walking
#24:38906,Talking
#22:39134,Relaxing
#22:39134,ReadingPaper
#22:39134,Talking
#22:39134,Thinking
#22:38916,Walking
#24:39045,Walking
#24:39045,Talking
#24:39045,Thinking
#23:38878,Cycling
#23:39182,Cycling
#25:38864,Cycling
#25:38864,Listening
#22:39009,Relaxing
#22:39009,Browsing
#22:39009,Talking
#25:39032,Cycling
#25:39032,Thinking
#25:39032,Other
#24:39132,Cycling
#24:39132,Listening
#24:39536,Walking
#24:39536,Accompanying
#24:39536,Thinking
#24:39539,Walking
#24:39539,Accompanying
#23:39676,Walking
#23:39676,Talking
#23:39676,Accompanying
#25:39493,Cycling
#22:39631,Cycling
#23:39517,Relaxing
#23:39517,Talking
#25:39494,Cycling
#23:39698,Cycling
#25:4609,Listening
#25:4609,Walking
#25:4609,Talking
#25:5461,Thinking
#28:1455,Talking
#25:3524,Walking
#25:3524,Talking
#22:3706,Driving
#22:3706,Talking
#22:3825,Thinking
#23:3807,Cycling
#23:3807,Thinking
#22:4316,Talking
#22:4316,Thinking
#22:4316,Cycling
#23:4298,Cycling
#23:4298,Listening
#23:4298,Thinking
#24:4270,Cycling
#24:4270,Talking
#23:4525,Talking
#23:4660,Walking
#23:4660,Listening
#23:4660,Talking
#23:4660,Browsing
#23:4657,Walking
#23:4657,Listening
#23:4657,Talking
#25:5053,Walking
#25:5053,Listening
#25:5053,Talking
#22:5181,Driving
#23:5163,Eating
#24:5565,Listening
#24:5565,Cycling
#25:5642,Browsing
#25:5606,Listening
#25:5606,Walking
#24:5693,Talking
#24:5693,Thinking
#22:7692,Driving
#25:5977,Browsing
#25:6243,Walking
#22:6419,Cycling
#22:6419,Talking
#22:6419,Listening
#22:6419,Thinking
#23:6723,Listening
#23:7017,Cycling
#22:7035,Cycling
#25:6940,Talking
#22:7018,Talking
#23:6999,Cycling
#22:17241,Driving
#22:17241,Talking
#25:7019,Talking
#25:7019,Accompanying
#25:7019,Listening
#25:7019,Browsing
#25:7019,ReadingDevice
#25:7019,Thinking
#24:7022,Walking
#24:7122,Walking
#22:7231,Walking
#22:7365,Thinking
#24:7836,Other
#23:7394,Walking
#23:7449,Walking
#25:7492,Walking
#28:1951,Thinking
#25:7513,Browsing
#25:7513,ReadingPaper
#22:7661,Listening
#22:7661,Browsing
#25:7574,Listening
#24:7611,Listening
#24:7611,Talking
#24:7621,Walking
#25:7781,Cycling
#22:11343,Accompanying
#23:7721,Walking
#24:8026,Cycling
#22:7809,Walking
#22:7809,Talking
#22:7809,Accompanying
#24:10339,Talking
#24:7807,Thinking
#22:8008,Listening
#22:8008,Talking
#24:8030,Accompanying
#25:8081,Browsing
#22:10392,Driving
#25:8021,Walking
#25:8021,Talking
#22:9044,Accompanying
#22:9044,Talking
#25:8169,Browsing
#25:8169,Talking
#23:8336,Listening
#23:8336,Talking
#24:8515,Talking
#25:8296,Relaxing
#25:8296,Listening
#25:8296,Talking
#25:8296,Relaxing
#25:8296,Browsing
#25:8296,Listening
#25:8296,Talking
#25:8296,Browsing
#25:8296,Relaxing
#23:8400,ReadingDevice
#23:8400,Accompanying
#24:8586,Talking
#25:8489,Cycling
#25:8556,Walking
#25:8556,Accompanying
#22:8635,Accompanying
#23:8750,Cycling
#24:8729,Accompanying
#25:8966,Talking
#25:8966,Listening
#28:2358,Talking
#22:8877,Browsing
#22:8877,Listening
#22:8877,Talking
#23:9008,Cycling
#23:9008,Talking
#23:9046,Walking
#23:9046,Talking
#23:9046,Thinking
#22:9031,Talking
#23:9022,Walking
#23:9022,Talking
#25:9134,Listening
#24:9110,Driving
#24:9110,Talking
#25:9083,Cycling
#25:9083,Thinking
#25:9067,Walking
#25:9067,Talking
#25:9067,Accompanying
#25:9067,Thinking
#23:9138,Listening
#23:9138,Driving
#23:9138,Browsing
#23:9138,Eating
#24:9107,Browsing
#24:9107,Eating
#24:9107,Walking
#25:9084,Cycling
#25:9084,Thinking
#23:9158,Walking
#23:9158,Talking
#23:9158,Accompanying
#24:9160,Cycling
#24:9243,Walking
#24:9243,Talking
#25:9371,Listening
#23:9428,Browsing
#23:9428,Walking
#23:9428,Talking
#22:9352,Cycling
#22:9352,Listening
#24:9314,Listening
#22:9448,Walking
#22:9448,Talking
#22:9448,Accompanying
#23:9427,Browsing
#23:9427,Walking
#25:9363,Listening
#23:11672,Thinking
#25:9381,Other
#22:9459,Accompanying
#25:9412,Walking
#25:9412,Talking
#25:9471,Listening
#22:26164,Thinking
#22:26096,Thinking
#25:25971,Thinking
#25:9487,ReadingDevice
#25:9487,Listening
#25:9487,Relaxing
#24:26082,Accompanying
#23:26131,Accompanying
#23:10407,Listening
#23:10407,Cycling
#24:26081,Accompanying
#26:2578,Talking
#25:10825,Talking
#23:11675,Walking
#24:9805,Talking
#24:9805,Walking
#24:9805,Browsing
#24:9738,Accompanying
#23:9836,Walking
#23:9836,Talking
#23:9836,Thinking
#22:11697,Accompanying
#23:9837,Talking
#23:10211,Talking
#24:16696,Accompanying
#22:11693,PersonalCare
#25:16660,Accompanying
#24:9860,Talking
#24:9860,Accompanying
#24:17535,Driving
#25:11608,Thinking
#25:10824,Thinking
#22:9957,Talking
#22:11691,Walking
#23:9976,Browsing
#25:11609,Accompanying
#24:10035,Walking
#24:10035,Talking
#22:10391,Accompanying
#24:10851,Thinking
#23:10884,Thinking
#22:10241,Browsing
#22:10241,Talking
#22:10241,Accompanying
#22:10904,Thinking
#22:10580,Talking
#22:10580,Walking
#24:10526,Accompanying
#24:10526,Talking
#24:10526,Walking
#22:10423,Listening
