legid,activity
#23:8017,PersonalCare
#23:8017,Thinking
#23:8007,Cycling
#23:8007,Other
#23:7988,Accompanying
#23:7988,Talking
#22:8028,Cycling
#22:8063,Cycling
#24:8051,Driving
#25:8340,Thinking
#23:8024,Listening
#23:8024,Cycling
#23:8024,Thinking
#25:7963,Cycling
#25:7963,PersonalCare
#25:7997,Driving
#25:7984,Relaxing
#25:7984,ReadingDevice
#25:7984,ReadingPaper
#25:7984,Talking
#25:7984,Accompanying
#25:7984,Thinking
#24:8096,Cycling
#25:8072,Thinking
#22:8147,Cycling
#22:8147,Other
#25:7991,Cycling
#23:8434,Talking
#23:8434,Accompanying
#25:8291,ReadingPaper
#25:8022,Walking
#25:8023,Walking
#23:8127,Cycling
#23:8078,Walking
#23:8347,Cycling
#25:8376,Talking
#25:8376,Accompanying
#23:8106,Listening
#23:8106,Cycling
#23:8106,Thinking
#23:8348,Walking
#23:8348,Thinking
#24:8317,Walking
#25:8293,Cycling
#22:8454,Thinking
#22:8454,PersonalCare
#24:8097,Walking
#24:8097,Thinking
#25:8377,Thinking
#22:8173,Listening
#22:8252,Cycling
#25:8085,Walking
#22:8203,Cycling
#23:8435,PersonalCare
#23:8435,Thinking
#22:8369,Cycling
#24:8206,Cycling
#24:8318,Walking
#24:8318,Thinking
#24:8158,PersonalCare
#24:8158,Cycling
#24:8178,Watching
#22:8241,Browsing
#25:8182,Cycling
#24:8236,Cycling
#23:8237,Driving
#23:8237,Accompanying
#24:8200,Walking
#24:8319,Talking
#24:8319,Walking
#23:8231,Talking
#23:8231,Accompanying
#25:8295,Walking
#25:8295,Talking
#25:8212,Cycling
#25:8212,Other
#23:8267,Cycling
#23:8267,Thinking
#25:8426,Driving
#25:8426,Accompanying
#23:8351,Cycling
#23:9106,Accompanying
#23:9106,Walking
#23:9106,Talking
#24:8320,Cycling
#24:8241,Cycling
#23:8276,Browsing
#23:8289,Watching
#25:8381,Talking
#24:8261,Walking
#27:2230,PersonalCare
#22:8372,Cycling
#25:8379,Accompanying
#25:8379,Talking
#25:8379,Cycling
#25:8379,Thinking
#25:8379,PersonalCare
#22:8505,Driving
#22:8505,Accompanying
#22:8385,Walking
#23:8437,PersonalCare
#23:8714,Accompanying
#23:8714,Talking
#23:8367,Walking
#23:8367,Talking
#22:11101,Thinking
#24:8334,Browsing
#24:8344,Listening
#24:8344,ReadingPaper
#22:9275,Walking
#22:9275,Talking
#24:8382,Talking
#24:8382,Accompanying
#23:8365,Walking
#23:8365,Other
#22:8467,Walking
#22:8467,Talking
#22:8504,Driving
#22:8504,Accompanying
#22:8435,Walking
#24:8355,Cycling
#24:8355,PersonalCare
#22:8418,Thinking
#24:8384,Talking
#24:8384,Accompanying
#24:8455,Driving
#24:8455,Accompanying
#22:8436,PersonalCare
#22:8436,Cycling
#24:8416,Walking
#23:8452,Relaxing
#23:8452,ReadingDevice
#24:8431,Browsing
#23:8444,Thinking
#23:8463,Cycling
#23:8463,PersonalCare
#22:8479,Accompanying
#25:8402,Browsing
#24:8434,Thinking
#22:8486,Walking
#25:8410,Accompanying
#25:8410,Talking
#25:8410,Thinking
#25:21250,Cycling
#22:8684,Talking
#25:8572,Cycling
#23:8466,Walking
#22:8516,Walking
#23:8664,Browsing
#23:8664,Listening
#23:8664,Relaxing
#24:8470,Listening
#24:8470,Cycling
#23:8713,Cycling
#23:8713,Thinking
#23:21339,Cycling
#23:8587,Driving
#22:8607,Driving
#22:8733,Cycling
#24:8542,Driving
#22:8911,Walking
#25:8529,Driving
#25:8655,Cycling
#25:8655,Accompanying
#25:8655,Talking
#25:8655,PersonalCare
#25:8655,Thinking
#24:8681,Cycling
#24:8681,PersonalCare
#24:8681,Thinking
#23:8735,Cycling
#25:9259,Thinking
#23:8736,Cycling
#23:8737,Cycling
#23:8739,Cycling
#23:8891,Walking
#25:8682,Cycling
#25:8682,Cycling
#23:8712,Cycling
#23:8740,Cycling
#24:8710,Cycling
#25:10124,Accompanying
#23:8784,Cycling
#23:8784,Thinking
#25:8694,Cycling
#23:8837,Cycling
#23:11956,Listening
#25:8776,Thinking
#24:10231,Accompanying
#24:10231,Talking
#24:8802,Cycling
#25:11893,Listening
#25:11893,Talking
#25:11893,Accompanying
#23:8854,Accompanying
#23:9003,Walking
#23:9003,Talking
#23:9003,Accompanying
#23:9003,Eating
#25:8837,Accompanying
#22:9024,Walking
#22:9024,Thinking
#25:10125,Accompanying
#25:10125,Talking
#22:8970,Accompanying
#23:9006,Cycling
#22:8957,Walking
#24:11057,Other
#23:8934,Accompanying
#23:10186,Walking
#24:8943,Accompanying
#23:9045,Walking
#25:8953,Cycling
#24:9013,Relaxing
#24:9013,ReadingDevice
#24:9013,Talking
#24:9013,Eating
#25:8954,Cycling
#25:11031,Thinking
#23:9052,PersonalCare
#23:9052,Accompanying
#23:9052,Cycling
#25:9047,Watching
#22:9108,Accompanying
#22:9108,Cycling
#22:9108,PersonalCare
#22:9108,Listening
#24:9096,Walking
#23:9105,Browsing
#24:9108,Listening
#24:9108,Walking
#24:9108,Thinking
#24:9108,Listening
#24:9108,Walking
#24:9108,Thinking
#24:9114,Cycling
#22:9202,Talking
#22:9202,Eating
#22:9202,ReadingDevice
#25:9176,Talking
#25:9176,Thinking
#25:9120,Cycling
#25:9120,PersonalCare
#25:9120,Thinking
#25:9120,Listening
#25:9315,Cycling
#22:9206,Browsing
#22:9206,Listening
#22:9206,Thinking
#22:9206,Talking
#23:9172,Other
#24:9227,Cycling
#24:9227,Listening
#22:9222,ReadingDevice
#22:9222,Talking
#24:9201,Cycling
#24:9239,ReadingPaper
#24:9239,Listening
#23:11057,Cycling
#22:9287,Cycling
#22:9287,PersonalCare
#22:9287,Listening
#24:9295,Talking
#24:9295,Browsing
#24:9295,Listening
#22:9616,Cycling
#22:9291,Walking
#22:9291,Listening
#22:9291,Talking
#22:9291,Thinking
#23:9258,Cycling
#23:9258,Listening
#23:9597,ReadingPaper
#23:9325,Accompanying
#23:9325,Walking
#24:9359,Listening
#23:9276,Cycling
#25:9239,PersonalCare
#25:9239,Listening
#25:9239,Cycling
#22:9412,Talking
#22:9412,Thinking
#22:9412,Accompanying
#24:9293,Thinking
#24:9293,Talking
#24:9293,Watching
#22:10206,Walking
#25:9263,Walking
#24:9287,Cycling
#22:9618,Cycling
#23:9409,Accompanying
#23:9409,Talking
#23:9422,Listening
#23:9422,Thinking
#23:9421,Talking
#24:9390,Accompanying
#24:9390,Talking
#24:9398,Walking
#24:9398,Accompanying
#24:9398,Thinking
#24:9419,Walking
#24:9419,Thinking
#25:9494,Walking
#25:9494,Talking
#25:9494,Accompanying
#23:10710,Listening
#22:9604,PersonalCare
#22:9604,Cycling
#22:9604,Listening
#22:9604,Thinking
#25:9926,Relaxing
#25:9926,Listening
#25:9926,ReadingDevice
#25:9926,Watching
#25:10649,Accompanying
#25:9400,Cycling
#25:9400,Thinking
#23:9584,Cycling
#23:9584,PersonalCare
#24:9504,Cycling
#24:9553,PersonalCare
#24:9553,Cycling
#24:9567,Cycling
#23:9500,Cycling
#23:9500,Cycling
#25:9456,Cycling
#25:9456,Thinking
#22:9574,Talking
#22:9574,Walking
#22:9574,Accompanying
#22:10207,Walking
#23:9556,ReadingDevice
#23:9556,Talking
#23:9556,Accompanying
#25:9541,Cycling
#22:9579,Cycling
#22:9579,Thinking
#22:9619,Cycling
#22:9878,Talking
#22:9878,Accompanying
#23:9638,Cycling
#23:9638,PersonalCare
#23:9638,Listening
#25:9572,Driving
#22:9885,Cycling
#23:9955,Accompanying
#26:2982,Listening
#22:9769,Cycling
#22:9769,Listening
#24:10675,Talking
#23:9949,Accompanying
#23:9948,Listening
#23:9948,Cycling
#22:10717,Talking
#22:10717,Accompanying
#24:9729,Cycling
#22:10718,Talking
#22:10718,Relaxing
#23:9865,Cycling
#24:9918,Listening
#24:9918,Cycling
#24:9918,Thinking
#24:9811,Listening
#23:10066,Walking
#23:10066,Accompanying
#23:10066,Talking
#24:10079,Accompanying
#24:10079,Talking
#25:9894,Walking
#25:9894,Accompanying
#22:11270,Walking
#22:11270,Accompanying
#24:11025,Walking
#25:10075,Cycling
#22:11258,Cycling
#22:11258,Listening
#22:11258,PersonalCare
#23:10135,Cycling
#23:10711,Talking
#24:9983,Walking
#24:9983,Thinking
#24:9983,Talking
#23:10050,Talking
#24:11036,Cycling
#25:10639,Talking
#22:10697,Talking
#22:10697,Eating
#23:10136,Accompanying
#23:10136,Talking
#23:10110,Eating
#23:10110,Accompanying
#23:10110,Talking
#23:10110,Walking
#22:10130,Accompanying
#22:10130,Eating
#22:10130,Talking
#22:10130,Walking
#23:10113,Cycling
#22:10720,Talking
#23:11070,Walking
#23:10154,Relaxing
#23:10292,Walking
#23:10292,Thinking
#24:10646,Walking
#24:10646,Talking
#24:10646,Eating
#24:10260,Thinking
#24:10260,Walking
#25:10127,Accompanying
#24:10323,Walking
#24:10154,Accompanying
#24:10154,Talking
#22:11110,Watching
#24:10382,Walking
#24:10382,Thinking
#24:10668,Listening
#25:10296,Walking
#25:10296,Thinking
#23:10588,Cycling
#25:10619,Relaxing
#25:10619,ReadingPaper
#25:10619,Listening
#25:10619,Watching
#25:10619,Eating
#25:10619,Talking
#25:10619,Accompanying
#25:10619,Thinking
#23:10707,Talking
#23:11073,Cycling
#22:11094,Cycling
#24:10555,Cycling
#24:10555,Thinking
#22:10333,Walking
#25:10254,Accompanying
#23:10314,Cycling
#25:11015,Cycling
#23:10356,Cycling
#23:10356,Thinking
#25:10528,Cycling
#25:10310,Browsing
#22:10609,Cycling
#24:10650,Cycling
#23:10418,Listening
#23:10690,Listening
#22:10704,Cycling
#24:10651,Cycling
#24:10651,Thinking
#23:10587,Cycling
#23:10587,Talking
#23:10587,Accompanying
#23:10587,Thinking
#25:10624,Cycling
#22:10705,Cycling
#22:10935,Browsing
#22:10935,Listening
#22:10935,Watching
#22:10935,Talking
#25:10725,Cycling
#25:10725,Thinking
#25:10855,Listening
#25:10855,Talking
#22:10936,Listening
#22:10936,Other
#22:10938,Walking
#22:10938,Talking
#22:10938,Other
#23:10919,Listening
#23:10919,Talking
#24:10886,Relaxing
#24:10886,Listening
#24:10886,Talking
#24:10886,Eating
#24:10886,Other
#22:11490,Cycling
#24:13505,Talking
#24:13505,Thinking
#25:13472,Relaxing
#25:13472,Browsing
#25:13472,ReadingPaper
#25:13472,Watching
#25:13472,Listening
#25:13472,ReadingDevice
#25:13472,Thinking
#25:11408,Cycling
#25:13473,Relaxing
#25:13473,Browsing
#25:13473,ReadingPaper
#25:13473,Listening
#25:13473,ReadingDevice
#25:13473,Talking
#25:13473,Thinking
#24:11437,Walking
#25:11409,Cycling
#25:11409,Thinking
#22:11492,Cycling
#22:11147,Walking
#22:11147,Accompanying
#23:11472,Cycling
#22:11268,Cycling
#24:11204,Driving
#24:11339,Walking
#25:11176,Driving
#22:11267,Cycling
#23:11247,Cycling
#23:11240,PersonalCare
#23:11240,Cycling
#23:11240,Listening
#24:11226,Cycling
#24:11226,Thinking
#24:11232,Cycling
#29:3057,Other
#25:11249,Cycling
#25:11249,Thinking
#25:11249,PersonalCare
#25:11254,Cycling
#22:11336,Cycling
#22:11336,Thinking
#22:11881,Cycling
#24:11333,Cycling
#24:11333,Thinking
#25:11310,Walking
#24:11522,Cycling
#25:11493,Cycling
#23:11860,Cycling
#22:11679,Cycling
#23:11659,Cycling
#23:11861,Walking
#24:11824,Walking
#24:11824,Listening
#22:11878,Cycling
#22:11878,Listening
#22:11680,Cycling
#22:11978,Cycling
#23:11958,Cycling
#23:11958,Thinking
#25:11891,Cycling
#25:11891,Thinking
#24:11941,Cycling
#24:11941,Thinking
#22:12140,Eating
#22:12603,Accompanying
#22:12603,Talking
#23:12231,Accompanying
#23:12584,Thinking
#23:12584,Other
#23:12583,Walking
#23:12583,Thinking
#22:12637,Cycling
#22:12637,Browsing
#22:12637,Listening
#22:12422,Listening
#22:12422,Cycling
#22:12628,Browsing
#22:12628,Accompanying
#22:12628,Talking
#25:13700,Accompanying
#22:13800,Thinking
#25:13799,Thinking
#23:13889,Accompanying
#23:13889,Thinking
